State,"Active Physicians per 100,000 Population, 2018 (AAMC)","Total Active Patient Care Physicians per 100,000 Population, 2018 (AAMC)","Active Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active Patient Care Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active General Surgeons per 100,000 Population, 2018 (AAMC)","Active Patient Care General Surgeons per 100,000 Population, 2018 (AAMC)","Percentage of Active Physicians Who Are Female, 2018 (AAMC)","Percentage of Active Physicians Who Are International Medical Graduates (IMGs), 2018 (AAMC)","Percentage of Active Physicians Who Are Age 60 or Older, 2018 (AAMC)","MD and DO Student Enrollment per 100,000 Population, AY 2018-2019 (AAMC)","Student Enrollment at Public MD and DO Schools per 100,000 Population, AY 2018-2019 (AAMC)","Percentage Change in Student Enrollment at MD and DO Schools, 2008-2018 (AAMC)","Percentage of MD Students Matriculating In-State, AY 2018-2019 (AAMC)","Total Residents/Fellows in ACGME Programs per 100,000 Population as of December 31, 2018 (AAMC)","Total Residents/Fellows in Primary Care ACGME Programs per 100,000 Population as of Dec. 31, 2018 (AAMC)","Percentage of Residents in ACGME Programs Who Are IMGs as of December 31, 2018 (AAMC)","Ratio of Residents and Fellows (GME) to Medical Students (UME), AY 2017-2018 (AAMC)","Percent Change in Residents and Fellows in ACGME-Accredited Programs, 2008-2018 (AAMC)","Percentage of Physicians Retained in State from Undergraduate Medical Education (UME), 2018 (AAMC)",All Specialties (AAMC),Allergy & Immunology (AAMC),Anatomic/Clinical Pathology (AAMC),Anesthesiology (AAMC),Cardiovascular Disease (AAMC),Child & Adolescent Psychiatry** (AAMC),Critical Care Medicine (AAMC),Dermatology (AAMC),Emergency Medicine (AAMC),"Endocrinology, Diabetes & Metabolism (AAMC)",Family Medicine/General Practice (AAMC),Gastroenterology (AAMC),General Surgery (AAMC),Geriatric Medicine*** (AAMC),Hematology & Oncology (AAMC),Infectious Disease (AAMC),Internal Medicine (AAMC),Internal Medicine/Pediatrics (AAMC),Interventional Cardiology (AAMC),Neonatal-Perinatal Medicine (AAMC),Nephrology (AAMC),Neurological Surgery (AAMC),Neurology (AAMC),Neuroradiology (AAMC),Obstetrics & Gynecology (AAMC),Ophthalmology (AAMC),Orthopedic Surgery (AAMC),Otolaryngology (AAMC),Pain Medicine & Pain Management (AAMC),Pediatrics** (AAMC),Physical Medicine & Rehabilitation (AAMC),Plastic Surgery (AAMC),Preventive Medicine (AAMC),Psychiatry (AAMC),Pulmonary Disease (AAMC),Radiation Oncology (AAMC),Radiology & Diagnostic Radiology (AAMC),Rheumatology (AAMC),Sports Medicine (AAMC),Thoracic Surgery (AAMC),Urology (AAMC),Vascular & Interventional Radiology (AAMC),Vascular Surgery (AAMC),State/Local Government hospital beds per 1000 people (2019),Non-profit hospital beds per 1000 people (2019),For-profit hospital beds per 1000 people (2019),Total hospital beds per 1000 people (2019),Total nurses (2019),Total physical assistants (2019),Total Hospitals (2019),Internal Medicine specialists (2019),Family Medicine/General Practice specialists (2019),Pediatrics specialists (2019),Obstetrics & Gynecology specialists (2019),Geriatrics specialists (2019),Total Primary Care specialists (2019),Psychiatry specialists (2019),Surgery specialists (2019),Anesthesiology specialists (2019),Emergency Medicine specialists (2019),Radiology specialists (2019),Cardiology specialists (2019),Oncology (Cancer) specialists (2019),"Endocrinology, Diabetes, and Metabolism specialists (2019)",All Other Specialties specialists (2019),Total specialists (2019)
NC,255.0,223.5,86.2,78.1,7.1,6.2,35.6%,15.7%,28.6%,28.2,11.4,47.4%,57.1%,35.6,11.9,10.5%,1.3,27.2%,38.2%,"26,481",135.0,322,970,625,304,373,362,"1,375",221.0,"3,484",477,741,187.0,515,274,"3,202",240.0,109.0,154.0,334,165.0,364,130.0,"1,290",533,593,321,150.0,"1,823",265,189,171.0,"1,099",147.0,164.0,801,177.0,92.0,141.0,334,103.0,127.0,0.5,2.2,,2.7,12611.0,8893.0,166.0,20720.0,6480.0,8600.0,4720.0,72.0,40592.0,6759.0,4293.0,4262.0,4560.0,3999.0,3149.0,2213.0,902.0,18771.0,48908.0
ND,237.6,217.1,87.0,79.6,10.5,9.7,30.3%,26.1%,28.5%,40.8,40.8,25.0%,90.6%,19.9,11.7,46.4%,0.5,34.8%,33.7%,"1,806",,35,76,30,21,23,20,87,10.0,396,21,80,,34,14,171,,13.0,16.0,24,21.0,19,,73,32,49,14,,83,14,13,,65,,12.0,62,12.0,,11.0,20,11.0,,0.6,1.3,0.1,2.1,4717.0,4242.0,112.0,5055.0,4024.0,2568.0,1691.0,62.0,13400.0,1576.0,1589.0,1133.0,1661.0,1310.0,940.0,606.0,213.0,5951.0,14979.0
OH,292.7,248.6,93.7,83.7,8.3,7.1,34.9%,25.1%,28.9%,46.3,37.8,22.8%,74.5%,58.5,20.2,22.3%,1.3,25.9%,40.2%,"34,217",159.0,471,"1,414",832,300,528,385,"1,681",265.0,"4,231",509,976,190.0,570,316,"4,152",263.0,147.0,236.0,384,226.0,487,124.0,"1,459",647,697,330,221.0,"2,085",340,215,220.0,"1,142",179.0,214.0,"1,002",224.0,162.0,205.0,365,119.0,172.0,,4.2,0.1,4.3,457.0,227.0,39.0,351.0,587.0,110.0,60.0,4.0,1112.0,134.0,149.0,74.0,66.0,104.0,35.0,31.0,14.0,296.0,903.0
OK,206.7,189.1,73.9,68.5,6.2,5.8,29.9%,18.3%,33.8%,29.0,29.0,13.1%,82.2%,29.1,12.0,18.0%,1.2,52.9%,48.2%,"8,151",25.0,93,425,181,63,92,82,342,55.0,"1,590",122,244,31.0,115,43,756,68.0,61.0,53.0,92,69.0,108,23.0,356,159,199,82,52.0,467,53,42,55.0,317,41.0,44.0,261,47.0,30.0,40.0,102,32.0,19.0,0.3,2.4,0.2,2.8,6039.0,2236.0,194.0,7906.0,5406.0,3993.0,2192.0,94.0,19591.0,1770.0,2444.0,1987.0,2878.0,1942.0,1484.0,878.0,303.0,9096.0,22782.0
OR,303.4,271.5,109.4,101.0,9.2,8.3,39.3%,11.5%,29.1%,15.6,15.6,23.7%,55.4%,24.2,9.9,6.8%,1.7,26.8%,44.9%,"12,714",34.0,138,653,200,122,172,158,778,87.0,"1,966",183,387,79.0,192,83,"1,756",47.0,40.0,58.0,118,86.0,193,46.0,593,284,273,140,58.0,731,104,80,110.0,535,44.0,77.0,345,75.0,31.0,55.0,130,48.0,52.0,0.5,1.5,0.8,2.8,1131.0,1288.0,125.0,1319.0,2260.0,704.0,514.0,13.0,4810.0,435.0,448.0,526.0,582.0,417.0,232.0,145.0,46.0,1831.0,4662.0
PA,320.5,273.3,100.8,88.2,8.7,7.2,35.6%,23.5%,33.3%,64.0,,17.8%,63.0%,69.7,25.1,22.3%,1.2,22.1%,31.3%,"41,041",194.0,576,"1,738","1,223",442,644,529,"1,832",392.0,"5,003",755,"1,112",287.0,832,456,"5,172",140.0,170.0,271.0,548,269.0,641,166.0,"1,690",875,758,389,241.0,"2,273",510,261,218.0,"1,697",273.0,270.0,"1,329",330.0,150.0,248.0,416,162.0,188.0,0.2,1.4,0.1,1.6,2101.0,1158.0,61.0,2569.0,1978.0,811.0,613.0,16.0,5987.0,653.0,717.0,688.0,726.0,515.0,275.0,208.0,84.0,2296.0,6162.0
RI,370.0,325.3,117.5,106.6,10.1,8.6,41.1%,24.1%,30.1%,57.2,,42.0%,23.4%,79.4,29.1,14.4%,1.5,10.2%,12.6%,"3,912",10.0,59,117,105,76,52,67,187,35.0,305,71,107,38.0,73,63,615,20.0,19.0,20.0,51,21.0,68,11.0,189,66,76,28,15.0,260,16,19,21.0,229,29.0,16.0,110,31.0,11.0,10.0,40,24.0,17.0,0.0,2.5,0.3,2.9,7003.0,5669.0,199.0,10376.0,7204.0,3896.0,2666.0,160.0,24302.0,2641.0,2998.0,2306.0,3163.0,2551.0,1923.0,1204.0,429.0,9552.0,26767.0
SC,229.5,205.0,80.1,72.3,7.0,6.2,31.3%,15.2%,31.2%,43.3,30.7,123.6%,90.6%,29.7,11.0,10.2%,0.6,34.2%,46.7%,"11,666",57.0,148,504,255,131,126,139,720,83.0,"1,874",197,354,65.0,155,93,"1,264",83.0,66.0,66.0,153,72.0,154,42.0,599,251,280,141,57.0,783,90,90,80.0,440,69.0,62.0,321,84.0,49.0,68.0,143,49.0,51.0,,1.9,0.2,2.1,653.0,305.0,11.0,1308.0,283.0,535.0,275.0,6.0,2407.0,267.0,290.0,129.0,396.0,217.0,174.0,156.0,55.0,897.0,2581.0
SD,240.4,219.1,92.8,84.8,9.2,8.6,31.8%,16.0%,29.9%,31.3,31.3,31.4%,85.1%,17.1,10.1,25.2%,0.6,55.7%,41.5%,"2,121",,40,83,36,18,22,32,83,,460,27,81,14.0,26,18,245,,,15.0,26,18.0,30,,95,37,66,28,11.0,90,20,16,14.0,76,,14.0,71,11.0,,10.0,25,,,0.6,1.1,0.7,2.4,2121.0,1049.0,69.0,2137.0,2341.0,1122.0,776.0,19.0,6395.0,739.0,804.0,578.0,728.0,574.0,343.0,198.0,78.0,2410.0,6452.0
TN,253.1,225.8,85.1,77.8,8.1,7.4,30.3%,17.4%,33.3%,42.4,14.8,36.7%,69.7%,38.4,13.2,17.7%,0.9,21.1%,34.1%,"17,133",100.0,319,729,450,105,261,188,690,132.0,"2,161",285,548,43.0,294,169,"2,256",211.0,96.0,110.0,218,119.0,258,89.0,855,342,425,185,82.0,"1,084",122,135,107.0,567,122.0,99.0,581,109.0,48.0,101.0,213,77.0,87.0,0.2,4.3,0.2,4.8,473.0,404.0,57.0,339.0,541.0,121.0,80.0,2.0,1083.0,103.0,123.0,68.0,58.0,102.0,53.0,32.0,9.0,410.0,958.0
TX,224.8,199.9,72.9,66.5,6.2,5.4,35.2%,25.9%,27.9%,28.3,24.3,55.2%,84.9%,29.9,10.1,20.8%,1.1,23.1%,59.7%,"64,533",383.0,932,"3,512","1,410",647,816,857,"3,334",504.0,"8,646","1,046","1,785",381.0,"1,121",552,"7,096",310.0,374.0,505.0,955,426.0,842,322.0,"3,308","1,265","1,309",722,490.0,"4,438",646,637,429.0,"2,064",251.0,353.0,"1,952",382.0,188.0,336.0,698,299.0,221.0,0.5,1.6,0.8,2.9,5748.0,1192.0,115.0,3587.0,2486.0,1729.0,1064.0,10.0,8876.0,798.0,1173.0,853.0,832.0,995.0,649.0,442.0,145.0,4216.0,10103.0
UT,216.2,199.9,65.3,62.2,5.8,5.4,24.6%,9.3%,26.5%,16.6,16.6,21.5%,43.5%,26.0,8.8,6.1%,1.6,20.2%,43.8%,"6,833",34.0,100,439,108,61,85,116,427,35.0,997,104,182,26.0,91,50,515,45.0,34.0,58.0,57,48.0,94,38.0,339,176,183,91,53.0,482,108,72,51.0,211,45.0,36.0,190,37.0,48.0,33.0,71,21.0,17.0,0.3,1.0,1.0,2.3,9900.0,5843.0,523.0,10860.0,9612.0,6169.0,3953.0,110.0,30704.0,3026.0,3477.0,3788.0,3259.0,3128.0,2041.0,1411.0,467.0,13301.0,33898.0
VT,367.1,322.7,130.3,121.5,11.7,9.9,41.7%,10.7%,35.7%,76.3,76.3,,50.9%,50.9,14.5,13.2%,0.7,20.4%,13.6%,"2,299",,47,85,37,31,38,30,123,18.0,357,25,73,15.0,41,20,276,11.0,,12.0,23,12.0,40,,104,39,47,21,15.0,156,16,,19.0,141,12.0,11.0,67,14.0,,,21,,,0.3,1.0,0.6,1.8,1207.0,798.0,54.0,971.0,1052.0,669.0,369.0,4.0,3065.0,304.0,316.0,439.0,426.0,311.0,174.0,106.0,33.0,1587.0,3696.0
VA,263.2,231.8,90.3,81.7,7.3,6.3,37.7%,22.0%,31.1%,43.2,25.3,46.4%,46.5%,28.8,11.2,18.4%,0.7,15.7%,31.4%,"22,419",147.0,258,975,477,244,292,318,"1,158",209.0,"3,014",363,623,136.0,310,196,"2,815",97.0,102.0,154.0,250,132.0,338,85.0,"1,101",451,461,244,93.0,"1,619",228,189,229.0,"1,001",117.0,99.0,686,137.0,55.0,94.0,247,95.0,96.0,,2.1,,2.1,384.0,247.0,14.0,417.0,373.0,215.0,122.0,1.0,1128.0,192.0,137.0,113.0,90.0,108.0,64.0,39.0,14.0,453.0,1210.0
WA,278.8,246.3,100.6,91.7,6.9,6.1,38.8%,15.3%,31.2%,24.7,17.1,97.4%,48.0%,28.5,11.6,5.4%,1.2,25.2%,42.1%,"21,007",90.0,251,"1,038",369,166,274,260,"1,082",146.0,"3,685",324,522,131.0,392,205,"2,422",81.0,74.0,89.0,207,135.0,272,104.0,871,384,461,221,116.0,"1,244",253,133,227.0,788,70.0,124.0,625,136.0,82.0,86.0,233,78.0,102.0,0.2,1.5,0.5,2.1,4478.0,2102.0,96.0,4248.0,3729.0,2198.0,1347.0,33.0,11555.0,1303.0,1167.0,1058.0,1334.0,1160.0,680.0,362.0,197.0,4491.0,11752.0
WV,263.4,231.6,100.1,89.4,10.5,9.2,29.7%,27.5%,33.5%,89.2,89.2,13.8%,88.9%,51.8,23.0,30.2%,0.6,44.1%,30.4%,"4,757",11.0,82,178,117,33,56,42,236,48.0,935,58,190,23.0,80,36,527,66.0,33.0,16.0,65,32.0,60,15.0,201,91,109,56,19.0,253,27,30,36.0,160,26.0,21.0,138,17.0,12.0,34.0,54,11.0,25.0,0.4,1.2,0.1,1.7,3037.0,1908.0,92.0,3748.0,4417.0,1786.0,939.0,29.0,10919.0,1048.0,1086.0,1300.0,1156.0,1162.0,521.0,489.0,127.0,4228.0,11117.0
WI,264.9,238.3,94.6,86.4,7.9,7.1,35.0%,19.3%,29.2%,30.4,13.1,14.8%,70.4%,34.6,12.0,16.3%,1.1,17.9%,36.5%,"15,399",88.0,219,782,319,151,201,212,798,120.0,"2,707",212,457,96.0,258,118,"1,700",89.0,51.0,97.0,147,102.0,223,98.0,620,318,380,164,85.0,892,195,86,86.0,515,66.0,99.0,567,103.0,57.0,71.0,170,77.0,50.0,0.4,2.8,0.7,3.8,942.0,668.0,56.0,976.0,1241.0,393.0,264.0,8.0,2882.0,245.0,325.0,228.0,368.0,243.0,148.0,100.0,50.0,1096.0,2803.0
WY,207.9,199.6,79.8,76.2,10.6,10.4,26.0%,13.4%,33.6%,,,,,7.3,7.3,35.7%,,5.0%,,"1,201",,13,78,22,,,14,84,,296,13,61,,13,10,103,,,,,10.0,10,,74,11,52,16,,53,,,,41,,,42,,,,18,,,0.0,2.0,0.1,2.1,3041.0,1840.0,133.0,3052.0,3276.0,1343.0,812.0,15.0,8498.0,818.0,905.0,986.0,889.0,1066.0,459.0,359.0,133.0,3582.0,9197.0
