name;geog_id;transit_scores - population weighted averages aggregated from town/city level to county;
"Dallam County, Texas";48111;0;
"Dallas County, Alabama";1047;"0,148691594";
"Dallas County, Arkansas";5039;0;
"Dallas County, Iowa";19049;"0,132318871";
"Dallas County, Missouri";29059;0;
"Dallas County, Texas";48113;"4,844463585";
"Dane County, Wisconsin";55025;"4,63687925";
"Daniels County, Montana";30019;0;
"Danville city County, Virginia";51590;"0,1";
"Dare County, North Carolina";37055;"0,037941926";
"Darke County, Ohio";39037;0;
"Darlington County, South Carolina";45031;"0,678897711";
"Dauphin County, Pennsylvania";42043;"3,745877361";
"Davidson County, North Carolina";37057;"0,521247768";
"Davidson County, Tennessee";47037;"1,133318579";
"Davie County, North Carolina";37059;0;
"Daviess County, Indiana";18027;0;
"Daviess County, Kentucky";21059;"3,308277373";
"Daviess County, Missouri";29061;0;
"Davis County, Iowa";19051;0;
"Davis County, Utah";49011;"5,216427798";
"Davison County, South Dakota";46035;0;
"Dawes County, Nebraska";31045;0;
"Dawson County, Georgia";13085;0;
"Dawson County, Montana";30021;0;
"Dawson County, Nebraska";31047;0;
"Dawson County, Texas";48115;0;
"Day County, South Dakota";46037;0;
"De Baca County, New Mexico";35011;0;
"De Soto Parish County, Louisiana";22031;0;
"De Witt County, Illinois";17039;0;
"Deaf Smith County, Texas";48117;0;
"Dearborn County, Indiana";18029;0;
"Decatur County, Georgia";13087;0;
"Decatur County, Indiana";18031;0;
"Decatur County, Iowa";19053;0;
"Decatur County, Kansas";20039;0;
"Decatur County, Tennessee";47039;0;
"Defiance County, Ohio";39039;"0,77116888";
"DeKalb County, Alabama";1049;0;
"DeKalb County, Georgia";13089;"6,040597143";
"DeKalb County, Illinois";17037;"2,830038749";
"DeKalb County, Indiana";18033;"0,106743997";
"DeKalb County, Missouri";29063;0;
"DeKalb County, Tennessee";47041;0;
"Del Norte County, California";6015;"2,937753431";
"Delaware County, Indiana";18035;"4,102812047";
"Delaware County, Iowa";19055;0;
"Delaware County, New York";36025;"0,065067885";
"Delaware County, Ohio";39041;"1,248928001";
"Delaware County, Oklahoma";40041;0;
"Delaware County, Pennsylvania";42045;"7,582812549";
"Delta County, Colorado";8029;0;
"Delta County, Michigan";26041;0;
"Delta County, Texas";48119;0;
"Denali Borough County, Alaska";2068;0;
"Dent County, Missouri";29065;0;
"Denton County, Texas";48121;"1,557067131";
"Denver County, Colorado";8031;"7,8";
"Des Moines County, Iowa";19057;"1,906723132";
"Deschutes County, Oregon";41017;"2,910886945";
"Desha County, Arkansas";5041;0;
"DeSoto County, Florida";12027;0;
"DeSoto County, Mississippi";28033;"0,04026089";
"Deuel County, Nebraska";31049;0;
"Deuel County, South Dakota";46039;0;
"Dewey County, Oklahoma";40043;0;
"Dewey County, South Dakota";46041;0;
"DeWitt County, Texas";48123;0;
"Dickens County, Texas";48125;0;
"Dickenson County, Virginia";51051;0;
"Dickey County, North Dakota";38021;0;
"Dickinson County, Iowa";19059;0;
"Dickinson County, Kansas";20041;0;
"Dickinson County, Michigan";26043;0;
"Dickson County, Tennessee";47043;"0,07987975";
"Dillingham Census Area County, Alaska";2070;0;
"Dillon County, South Carolina";45033;"0,938886322";
"Dimmit County, Texas";48127;0;
"Dinwiddie County, Virginia";51053;0;
"District of Columbia County, District of Columbia";11001;"9,3";
"Divide County, North Dakota";38023;0;
"Dixie County, Florida";12029;0;
"Dixon County, Nebraska";31051;0;
"Do?a Ana County, New Mexico";35013;"2,453144984";
"Dodge County, Georgia";13091;0;
"Dodge County, Minnesota";27039;"0,875447314";
"Dodge County, Nebraska";31053;0;
"Dodge County, Wisconsin";55027;0;
"Dolores County, Colorado";8033;0;
"Doniphan County, Kansas";20043;"0,251194574";
"Donley County, Texas";48129;0;
"Dooly County, Georgia";13093;0;
"Door County, Wisconsin";55029;0;
"Dorchester County, Maryland";24019;"2,680840934";
"Dorchester County, South Carolina";45035;"0,196017506";
"Dougherty County, Georgia";13095;"2,613475577";
"Douglas County, Colorado";8035;"2,398735707";
"Douglas County, Georgia";13097;"0,894896804";
"Douglas County, Illinois";17041;0;
"Douglas County, Kansas";20045;"5,193346431";
"Douglas County, Minnesota";27041;0;
"Douglas County, Missouri";29067;0;
"Douglas County, Nebraska";31055;"4,665337712";
"Douglas County, Nevada";32005;"0,962826136";
"Douglas County, Oregon";41019;"1,913587446";
"Douglas County, South Dakota";46043;0;
"Douglas County, Washington";53017;"3,964294937";
"Douglas County, Wisconsin";55031;"3,624306117";
"Drew County, Arkansas";5043;0;
"Dubois County, Indiana";18037;0;
"Dubuque County, Iowa";19061;"4,430119369";
"Duchesne County, Utah";49013;0;
"Dukes County, Massachusetts";25007;"5,6";
"Dundy County, Nebraska";31057;0;
"Dunklin County, Missouri";29069;0;
"Dunn County, North Dakota";38025;0;
"Dunn County, Wisconsin";55033;0;
"DuPage County, Illinois";17043;"3,476983156";
"Duplin County, North Carolina";37061;0;
"Durham County, North Carolina";37063;"4,777610759";
"Dutchess County, New York";36027;"3,846393775";
"Duval County, Florida";12031;"3,806869014";
"Duval County, Texas";48131;0;
"Dyer County, Tennessee";47045;"0,072158474";
"Eagle County, Colorado";8037;"3,476788674";
"Early County, Georgia";13099;0;
"East Baton Rouge Parish County, Louisiana";22033;"3,411258686";
"East Carroll Parish County, Louisiana";22035;0;
"East Feliciana Parish County, Louisiana";22037;0;
"Eastland County, Texas";48133;0;
"Eaton County, Michigan";26045;"1,315416879";
"Eau Claire County, Wisconsin";55035;"3,717702746";
"Ector County, Texas";48135;"2,027708079";
"Eddy County, New Mexico";35015;"1,071295665";
"Eddy County, North Dakota";38027;0;
"Edgar County, Illinois";17045;0;
"Edgecombe County, North Carolina";37065;0;
"Edgefield County, South Carolina";45037;0;
"Edmonson County, Kentucky";21061;0;
"Edmunds County, South Dakota";46045;0;
"Edwards County, Illinois";17047;0;
"Edwards County, Kansas";20047;0;
"Edwards County, Texas";48137;0;
"Effingham County, Georgia";13103;0;
"Effingham County, Illinois";17049;"1,069988503";
"El Dorado County, California";6017;"1,618794074";
"El Paso County, Colorado";8041;"2,573455455";
"El Paso County, Texas";48141;"4,37766624";
"Elbert County, Colorado";8039;0;
"Elbert County, Georgia";13105;0;
"Elk County, Kansas";20049;0;
"Elk County, Pennsylvania";42047;0;
"Elkhart County, Indiana";18039;"2,758898726";
"Elko County, Nevada";32007;"0,179110824";
"Elliott County, Kentucky";21063;0;
"Ellis County, Kansas";20051;0;
"Ellis County, Oklahoma";40045;0;
"Ellis County, Texas";48139;0;
"Ellsworth County, Kansas";20053;0;
"Elmore County, Alabama";1051;0;
"Elmore County, Idaho";16039;0;
"Emanuel County, Georgia";13107;0;
"Emery County, Utah";49015;"0,00323873";
"Emmet County, Iowa";19063;0;
"Emmet County, Michigan";26047;0;
"Emmons County, North Dakota";38029;0;
"Emporia city County, Virginia";51595;0;
"Erath County, Texas";48143;0;
"Erie County, New York";36029;"5,955247198";
"Erie County, Ohio";39043;"0,470768965";
"Erie County, Pennsylvania";42049;"3,894246873";
"Escambia County, Alabama";1053;0;
"Escambia County, Florida";12033;"3,05814779";
"Esmeralda County, Nevada";32009;0;
"Essex County, Massachusetts";25009;"4,591172564";
"Essex County, New Jersey";34013;"8,162415215";
"Essex County, New York";36031;"0,027469715";
"Essex County, Vermont";50009;"0,2766875";
"Essex County, Virginia";51057;0;
"Estill County, Kentucky";21065;0;
"Etowah County, Alabama";1055;"0,766048495";
"Eureka County, Nevada";32011;0;
"Evangeline Parish County, Louisiana";22039;0;
"Evans County, Georgia";13109;0;
"Fairbanks North Star Borough County, Alaska";2090;"2,17750067";
"Fairfax County, Virginia";51059;"5,653075078";
"Fairfield County, Connecticut";9001;"5,77281086";
"Fairfield County, Ohio";39045;"0,057332103";
"Fairfield County, South Carolina";45039;0;
"Fall River County, South Dakota";46047;0;
"Fallon County, Montana";30025;0;
"Falls Church city County, Virginia";51610;"8,6";
"Falls County, Texas";48145;"0,441916289";
"Fannin County, Georgia";13111;0;
"Fannin County, Texas";48147;0;
"Faribault County, Minnesota";27043;0;
"Faulk County, South Dakota";46049;0;
"Faulkner County, Arkansas";5045;0;
"Fauquier County, Virginia";51061;0;
"Fayette County, Alabama";1057;0;
"Fayette County, Georgia";13113;0;
"Fayette County, Illinois";17051;0;
"Fayette County, Indiana";18041;"0,5";
"Fayette County, Iowa";19065;0;
"Fayette County, Ohio";39047;0;
"Fayette County, Pennsylvania";42051;"1,977682847";
"Fayette County, Tennessee";47047;0;
"Fayette County, Texas";48149;"0,272550426";
"Fentress County, Tennessee";47049;0;
"Fergus County, Montana";30027;0;
"Ferry County, Washington";53019;0;
"Fillmore County, Minnesota";27045;"0,234734134";
"Fillmore County, Nebraska";31059;0;
"Finney County, Kansas";20055;"0,298117395";
"Fisher County, Texas";48151;0;
"Flagler County, Florida";12035;0;
"Flathead County, Montana";30029;"0,142991509";
"Fleming County, Kentucky";21069;0;
"Florence County, South Carolina";45041;"1,80929529";
"Florence County, Wisconsin";55037;0;
"Floyd County, Georgia";13115;0;
"Floyd County, Indiana";18043;"2,266970675";
"Floyd County, Iowa";19067;0;
"Floyd County, Kentucky";21071;0;
"Floyd County, Texas";48153;0;
"Floyd County, Virginia";51063;0;
"Fluvanna County, Virginia";51065;"0,696695207";
"Foard County, Texas";48155;0;
"Fond du Lac County, Wisconsin";55039;"2,177785321";
"Ford County, Illinois";17053;0;
"Ford County, Kansas";20057;"0,595439506";
"Forest County, Pennsylvania";42053;0;
"Forest County, Wisconsin";55041;0;
"Forrest County, Mississippi";28035;"1,904845997";
"Forsyth County, Georgia";13117;"0,1";
"Forsyth County, North Carolina";37067;"2,83056216";
"Fort Bend County, Texas";48157;"0,479573726";
"Foster County, North Dakota";38031;0;
"Fountain County, Indiana";18045;0;
"Franklin County, Alabama";1059;0;
"Franklin County, Arkansas";5047;0;
"Franklin County, Florida";12037;0;
"Franklin County, Georgia";13119;0;
"Franklin County, Idaho";16041;"0,541043979";
"Franklin County, Illinois";17055;0;
"Franklin County, Indiana";18047;0;
"Franklin County, Iowa";19069;0;
"Franklin County, Kansas";20059;0;
"Franklin County, Kentucky";21073;0;
"Franklin Parish County, Louisiana";22041;0;
"Franklin County, Maine";23007;0;
"Franklin County, Massachusetts";25011;"2,217250563";
"Franklin County, Mississippi";28037;0;
"Franklin County, Missouri";29071;"0,294983203";
"Franklin County, Nebraska";31061;0;
"Franklin County, New York";36033;0;
"Franklin County, North Carolina";37069;0;
"Franklin County, Ohio";39049;"4,555961878";
"Franklin County, Pennsylvania";42055;"0,005214968";
"Franklin County, Tennessee";47051;0;
"Franklin County, Texas";48159;0;
"Franklin County, Vermont";50011;"2,906385997";
"Franklin County, Virginia";51067;"0,145592185";
"Franklin County, Washington";53021;"4,804670976";
"Frederick County, Maryland";24021;"2,906795477";
"Frederick County, Virginia";51069;0;
"Fredericksburg city County, Virginia";51630;"4,3";
"Freeborn County, Minnesota";27047;0;
"Freestone County, Texas";48161;0;
"Fremont County, Colorado";8043;0;
"Fremont County, Idaho";16043;0;
"Fremont County, Iowa";19071;0;
"Fremont County, Wyoming";56013;0;
"Fresno County, California";6019;"3,705304405";
"Frio County, Texas";48163;0;
"Frontier County, Nebraska";31063;0;
"Fulton County, Arkansas";5049;0;
"Fulton County, Georgia";13121;"5,585337899";
"Fulton County, Illinois";17057;0;
"Fulton County, Indiana";18049;0;
"Fulton County, Kentucky";21075;"0,256989364";
"Fulton County, New York";36035;"1,33527376";
"Fulton County, Ohio";39051;0;
"Fulton County, Pennsylvania";42057;0;
"Furnas County, Nebraska";31065;0;
"Gadsden County, Florida";12039;"0,090044263";
"Gage County, Nebraska";31067;0;
"Gaines County, Texas";48165;0;
"Galax city County, Virginia";51640;0;
"Gallatin County, Illinois";17059;0;
"Gallatin County, Kentucky";21077;0;
"Gallatin County, Montana";30031;"1,73101183";
"Gallia County, Ohio";39053;0;
"Galveston County, Texas";48167;"0,616862237";
"Garden County, Nebraska";31069;0;
"Garfield County, Colorado";8045;"3,231668738";
"Garfield County, Montana";30033;0;
"Garfield County, Nebraska";31071;0;
"Garfield County, Oklahoma";40047;0;
"Garfield County, Utah";49017;0;
"Garfield County, Washington";53023;0;
"Garland County, Arkansas";5051;"1,648480176";
"Garrard County, Kentucky";21079;0;
"Garrett County, Maryland";24023;0;
"Garvin County, Oklahoma";40049;"0,345608891";
"Garza County, Texas";48169;0;
"Gasconade County, Missouri";29073;"0,428971427";
"Gaston County, North Carolina";37071;"1,41041489";
"Gates County, North Carolina";37073;0;
"Geary County, Kansas";20061;0;
"Geauga County, Ohio";39055;0;
"Gem County, Idaho";16045;0;
"Genesee County, Michigan";26049;"3,123823955";
"Genesee County, New York";36037;0;
"Geneva County, Alabama";1061;0;
"Gentry County, Missouri";29075;0;
"George County, Mississippi";28039;0;
"Georgetown County, South Carolina";45043;"0,606469135";
"Gibson County, Indiana";18051;0;
"Gibson County, Tennessee";47053;0;
"Gila County, Arizona";4007;0;
"Gilchrist County, Florida";12041;0;
"Giles County, Tennessee";47055;0;
"Giles County, Virginia";51071;0;
"Gillespie County, Texas";48171;0;
"Gilliam County, Oregon";41021;0;
"Gilmer County, Georgia";13123;0;
"Gilpin County, Colorado";8047;"0,013618148";
"Glacier County, Montana";30035;"0,494499482";
"Glades County, Florida";12043;0;
"Gladwin County, Michigan";26051;0;
"Glascock County, Georgia";13125;0;
"Glasscock County, Texas";48173;0;
"Glenn County, California";6021;0;
"Gloucester County, New Jersey";34015;"3,404949398";
"Gloucester County, Virginia";51073;0;
"Glynn County, Georgia";13127;0;
"Gogebic County, Michigan";26053;0;
"Golden Valley County, Montana";30037;0;
"Golden Valley County, North Dakota";38033;0;
"Goliad County, Texas";48175;0;
"Gonzales County, Texas";48177;0;
"Goochland County, Virginia";51075;0;
"Goodhue County, Minnesota";27049;"0,552050754";
"Gooding County, Idaho";16047;0;
"Gordon County, Georgia";13129;0;
"Goshen County, Wyoming";56015;0;
"Gosper County, Nebraska";31073;0;
"Gove County, Kansas";20063;0;
"Grady County, Georgia";13131;0;
"Grady County, Oklahoma";40051;0;
"Grafton County, New Hampshire";33009;"2,77136669";
"Graham County, Arizona";4009;0;
"Graham County, Kansas";20065;0;
"Graham County, North Carolina";37075;0;
"Grainger County, Tennessee";47057;0;
"Grand County, Colorado";8049;"1,524403047";
"Grand County, Utah";49019;"0,495723941";
"Grand Forks County, North Dakota";38035;"3,830900014";
"Grand Traverse County, Michigan";26055;"4,861160163";
"Granite County, Montana";30039;0;
"Grant County, Arkansas";5053;0;
"Grant County, Indiana";18053;0;
"Grant County, Kansas";20067;0;
"Grant County, Kentucky";21081;0;
"Grant Parish County, Louisiana";22043;0;
"Grant County, Minnesota";27051;0;
"Grant County, Nebraska";31075;0;
"Grant County, New Mexico";35017;0;
"Grant County, North Dakota";38037;0;
"Grant County, Oklahoma";40053;0;
"Grant County, Oregon";41023;"0,396974";
"Grant County, South Dakota";46051;0;
"Grant County, Washington";53025;"1,983363547";
"Grant County, Wisconsin";55043;"0,001881399";
"Granville County, North Carolina";37077;0;
"Gratiot County, Michigan";26057;0;
"Graves County, Kentucky";21083;0;
"Gray County, Kansas";20069;0;
"Gray County, Texas";48179;0;
"Grays Harbor County, Washington";53027;"0,118229118";
"Grayson County, Kentucky";21085;0;
"Grayson County, Texas";48181;"1,0682957";
"Grayson County, Virginia";51077;0;
"Greeley County, Kansas";20071;0;
"Greeley County, Nebraska";31077;0;
"Green County, Kentucky";21087;0;
"Green County, Wisconsin";55045;0;
"Green Lake County, Wisconsin";55047;0;
"Greene County, Alabama";1063;0;
"Greene County, Arkansas";5055;0;
"Greene County, Georgia";13133;0;
"Greene County, Illinois";17061;0;
"Greene County, Indiana";18055;0;
"Greene County, Iowa";19073;0;
"Greene County, Mississippi";28041;0;
"Greene County, Missouri";29077;"3,428007428";
"Greene County, New York";36039;"0,20296074";
"Greene County, North Carolina";37079;0;
"Greene County, Ohio";39057;"0,49049012";
"Greene County, Pennsylvania";42059;"0,001541656";
"Greene County, Tennessee";47059;0;
"Greene County, Virginia";51079;"0,381461757";
"Greenlee County, Arizona";4011;0;
"Greensville County, Virginia";51081;0;
"Greenup County, Kentucky";21089;"0,179153439";
"Greenville County, South Carolina";45045;"1,744395994";
"Greenwood County, Kansas";20073;0;
"Greenwood County, South Carolina";45047;0;
"Greer County, Oklahoma";40055;0;
"Gregg County, Texas";48183;"1,742523913";
"Gregory County, South Dakota";46053;0;
"Grenada County, Mississippi";28043;0;
"Griggs County, North Dakota";38039;0;
"Grimes County, Texas";48185;0;
"Grundy County, Illinois";17063;0;
"Grundy County, Iowa";19075;0;
"Grundy County, Missouri";29079;0;
"Grundy County, Tennessee";47061;0;
"Guadalupe County, New Mexico";35019;0;
"Guadalupe County, Texas";48187;0;
"Guernsey County, Ohio";39059;"1,410705639";
"Guilford County, North Carolina";37081;"3,159096654";
"Gulf County, Florida";12045;0;
"Gunnison County, Colorado";8051;"1,749776608";
"Guthrie County, Iowa";19077;0;
"Gwinnett County, Georgia";13135;"1,538743908";
"Haakon County, South Dakota";46055;0;
"Habersham County, Georgia";13137;0;
"Haines Borough County, Alaska";2100;0;
"Hale County, Alabama";1065;0;
"Hale County, Texas";48189;0;
"Halifax County, North Carolina";37083;0;
"Halifax County, Virginia";51083;0;
"Hall County, Georgia";13139;"1,836408122";
"Hall County, Nebraska";31079;0;
"Hall County, Texas";48191;0;
"Hamblen County, Tennessee";47063;0;
"Hamilton County, Florida";12047;0;
"Hamilton County, Illinois";17065;0;
"Hamilton County, Indiana";18057;0;
"Hamilton County, Iowa";19079;0;
"Hamilton County, Kansas";20075;0;
"Hamilton County, Nebraska";31081;0;
"Hamilton County, New York";36041;0;
"Hamilton County, Ohio";39061;"4,539612219";
"Hamilton County, Tennessee";47065;"2,192192315";
"Hamilton County, Texas";48193;0;
"Hamlin County, South Dakota";46057;0;
"Hampden County, Massachusetts";25013;"5,374781104";
"Hampshire County, Massachusetts";25015;"4,72790148";
"Hampton County, South Carolina";45049;"0,088333945";
"Hampton city County, Virginia";51650;"4,8";
"Hancock County, Georgia";13141;0;
"Hancock County, Illinois";17067;0;
"Hancock County, Indiana";18059;0;
"Hancock County, Iowa";19081;0;
"Hancock County, Kentucky";21091;0;
"Hancock County, Maine";23009;0;
"Hancock County, Mississippi";28045;0;
"Hancock County, Ohio";39063;0;
"Hancock County, Tennessee";47067;0;
"Hand County, South Dakota";46059;0;
"Hanover County, Virginia";51085;"0,260327294";
"Hansford County, Texas";48195;0;
"Hanson County, South Dakota";46061;0;
"Haralson County, Georgia";13143;0;
"Hardee County, Florida";12049;0;
"Hardeman County, Tennessee";47069;0;
"Hardeman County, Texas";48197;0;
"Hardin County, Illinois";17069;0;
"Hardin County, Iowa";19083;0;
"Hardin County, Kentucky";21093;0;
"Hardin County, Ohio";39065;0;
"Hardin County, Tennessee";47071;0;
"Hardin County, Texas";48199;0;
"Harding County, New Mexico";35021;"0,031168831";
"Harding County, South Dakota";46063;0;
"Harford County, Maryland";24025;"1,881334621";
"Harlan County, Kentucky";21095;0;
"Harlan County, Nebraska";31083;0;
"Harmon County, Oklahoma";40057;0;
"Harnett County, North Carolina";37085;0;
"Harney County, Oregon";41025;"0,442914514";
"Harper County, Kansas";20077;0;
"Harper County, Oklahoma";40059;0;
"Harris County, Georgia";13145;0;
"Harris County, Texas";48201;"4,82158111";
"Harrison County, Indiana";18061;0;
"Harrison County, Iowa";19085;0;
"Harrison County, Kentucky";21097;0;
"Harrison County, Mississippi";28047;"2,092921571";
"Harrison County, Missouri";29081;0;
"Harrison County, Ohio";39067;0;
"Harrison County, Texas";48203;"0,280402745";
"Harrisonburg city County, Virginia";51660;"5,3";
"Hart County, Georgia";13147;0;
"Hart County, Kentucky";21099;0;
"Hartford County, Connecticut";9003;"5,640051661";
"Hartley County, Texas";48205;0;
"Harvey County, Kansas";20079;"0,613758494";
"Haskell County, Kansas";20081;0;
"Haskell County, Oklahoma";40061;0;
"Haskell County, Texas";48207;0;
"Hawaii County, Hawaii";15001;"1,094997954";
"Hawkins County, Tennessee";47073;"0,106918514";
"Hayes County, Nebraska";31085;0;
"Hays County, Texas";48209;"0,309458526";
"Haywood County, North Carolina";37087;0;
"Haywood County, Tennessee";47075;0;
"Heard County, Georgia";13149;0;
"Hemphill County, Texas";48211;0;
"Hempstead County, Arkansas";5057;"0,887333187";
"Henderson County, Illinois";17071;"0,006106119";
"Henderson County, Kentucky";21101;"2,966305428";
"Henderson County, North Carolina";37089;"0,126733268";
"Henderson County, Tennessee";47077;0;
"Henderson County, Texas";48213;0;
"Hendricks County, Indiana";18063;"0,252024827";
"Hendry County, Florida";12051;0;
"Hennepin County, Minnesota";27053;"5,362022282";
"Henrico County, Virginia";51087;"2,400907718";
"Henry County, Alabama";1067;0;
"Henry County, Georgia";13151;"0,222987116";
"Henry County, Illinois";17073;"1,133903761";
"Henry County, Indiana";18065;0;
"Henry County, Iowa";19087;"0,710862103";
"Henry County, Kentucky";21103;0;
"Henry County, Missouri";29083;0;
"Henry County, Ohio";39069;0;
"Henry County, Tennessee";47079;0;
"Henry County, Virginia";51089;0;
"Herkimer County, New York";36043;0;
"Hernando County, Florida";12053;"1,900878046";
"Hertford County, North Carolina";37091;0;
"Hettinger County, North Dakota";38041;0;
"Hickman County, Kentucky";21105;0;
"Hickman County, Tennessee";47081;0;
"Hickory County, Missouri";29085;0;
"Hidalgo County, New Mexico";35023;"1,386416437";
"Hidalgo County, Texas";48215;"1,22885663";
"Highland County, Ohio";39071;0;
"Highland County, Virginia";51091;0;
"Highlands County, Florida";12055;"0,276304145";
"Hill County, Montana";30041;"0,65928638";
"Hill County, Texas";48217;0;
"Hillsborough County, Florida";12057;"3,303892778";
"Hillsborough County, New Hampshire";33011;"3,130510013";
"Hillsdale County, Michigan";26059;0;
"Hinds County, Mississippi";28049;"2,199693832";
"Hinsdale County, Colorado";8053;0;
"Hitchcock County, Nebraska";31087;0;
"Hocking County, Ohio";39073;0;
"Hockley County, Texas";48219;0;
"Hodgeman County, Kansas";20083;0;
"Hoke County, North Carolina";37093;0;
"Holmes County, Florida";12059;0;
"Holmes County, Mississippi";28051;0;
"Holmes County, Ohio";39075;0;
"Holt County, Missouri";29087;0;
"Holt County, Nebraska";31089;0;
"Honolulu County, Hawaii";15003;"5,477614273";
"Hood County, Texas";48221;0;
"Hood River County, Oregon";41027;"2,696259297";
"Hooker County, Nebraska";31091;0;
"Hoonah-Angoon Census Area County, Alaska";2105;0;
"Hopewell city County, Virginia";51670;"1,6";
"Hopkins County, Kentucky";21107;0;
"Hopkins County, Texas";48223;0;
"Horry County, South Carolina";45051;"0,902688942";
"Hot Spring County, Arkansas";5059;"0,785107608";
"Hot Springs County, Wyoming";56017;0;
"Houghton County, Michigan";26061;0;
"Houston County, Alabama";1069;0;
"Houston County, Georgia";13153;"0,002863403";
"Houston County, Minnesota";27055;"1,129688342";
"Houston County, Tennessee";47083;0;
"Houston County, Texas";48225;0;
"Howard County, Arkansas";5061;0;
"Howard County, Indiana";18067;0;
"Howard County, Iowa";19089;0;
"Howard County, Maryland";24027;"3,195113775";
"Howard County, Missouri";29089;0;
"Howard County, Nebraska";31093;0;
"Howard County, Texas";48227;0;
"Howell County, Missouri";29091;0;
"Hubbard County, Minnesota";27057;0;
"Hudson County, New Jersey";34017;"9,06110838";
"Hudspeth County, Texas";48229;0;
"Huerfano County, Colorado";8055;0;
"Hughes County, Oklahoma";40063;0;
"Hughes County, South Dakota";46065;0;
"Humboldt County, California";6023;"2,670916953";
"Humboldt County, Iowa";19091;0;
"Humboldt County, Nevada";32013;"0,989798993";
"Humphreys County, Mississippi";28053;0;
"Humphreys County, Tennessee";47085;0;
"Hunt County, Texas";48231;0;
"Hunterdon County, New Jersey";34019;"1,700162996";
"Huntingdon County, Pennsylvania";42061;"0,582799895";
"Huntington County, Indiana";18069;0;
"Huron County, Michigan";26063;0;
"Huron County, Ohio";39077;0;
"Hutchinson County, South Dakota";46067;0;
"Hutchinson County, Texas";48233;0;
"Hyde County, North Carolina";37095;"1,853377863";
"Hyde County, South Dakota";46069;0;
"Iberia Parish County, Louisiana";22045;"0,329780549";
"Iberville Parish County, Louisiana";22047;0;
"Ida County, Iowa";19093;0;
"Idaho County, Idaho";16049;0;
"Imperial County, California";6025;"0,143712398";
"Independence County, Arkansas";5063;0;
"Indian River County, Florida";12061;0;
"Indiana County, Pennsylvania";42063;"3,809433765";
"Ingham County, Michigan";26065;"5,09674699";
"Inyo County, California";6027;"0,470244902";
"Ionia County, Michigan";26067;0;
"Iosco County, Michigan";26069;0;
"Iowa County, Iowa";19095;0;
"Iowa County, Wisconsin";55049;0;
"Iredell County, North Carolina";37097;0;
"Irion County, Texas";48235;0;
"Iron County, Michigan";26071;0;
"Iron County, Missouri";29093;"0,645155933";
"Iron County, Utah";49021;0;
"Iron County, Wisconsin";55051;0;
"Iroquois County, Illinois";17075;"0,015118916";
"Irwin County, Georgia";13155;0;
"Isabella County, Michigan";26073;0;
"Isanti County, Minnesota";27059;0;
"Island County, Washington";53029;"2,69116062";
"Isle of Wight County, Virginia";51093;"0,309026408";
"Issaquena County, Mississippi";28055;0;
"Itasca County, Minnesota";27061;0;
"Itawamba County, Mississippi";28057;0;
"Izard County, Arkansas";5065;0;
"Jack County, Texas";48237;0;
"Jackson County, Alabama";1071;0;
"Jackson County, Arkansas";5067;0;
"Jackson County, Colorado";8057;0;
"Jackson County, Florida";12063;0;
"Jackson County, Georgia";13157;"0,171212695";
"Jackson County, Illinois";17077;"3,365611154";
"Jackson County, Indiana";18071;0;
"Jackson County, Iowa";19097;0;
"Jackson County, Kansas";20085;0;
"Jackson County, Kentucky";21109;0;
"Jackson Parish County, Louisiana";22049;0;
"Jackson County, Michigan";26075;"2,619960524";
"Jackson County, Minnesota";27063;0;
"Jackson County, Mississippi";28059;"0,479636356";
"Jackson County, Missouri";29095;"3,404677615";
"Jackson County, North Carolina";37099;0;
"Jackson County, Ohio";39079;0;
"Jackson County, Oklahoma";40065;0;
"Jackson County, Oregon";41029;"3,70672745";
"Jackson County, South Dakota";46071;0;
"Jackson County, Tennessee";47087;0;
"Jackson County, Texas";48239;0;
"Jackson County, Wisconsin";55053;0;
"Jasper County, Georgia";13159;0;
"Jasper County, Illinois";17079;0;
"Jasper County, Indiana";18073;"0,752393974";
"Jasper County, Iowa";19099;0;
"Jasper County, Mississippi";28061;0;
"Jasper County, Missouri";29097;"1,018734328";
"Jasper County, South Carolina";45053;0;
"Jasper County, Texas";48241;0;
"Jay County, Indiana";18075;0;
"Jeff Davis County, Georgia";13161;0;
"Jeff Davis County, Texas";48243;0;
"Jefferson County, Alabama";1073;"0,102505817";
"Jefferson County, Arkansas";5069;0;
"Jefferson County, Colorado";8059;"4,807321741";
"Jefferson County, Florida";12065;0;
"Jefferson County, Georgia";13163;0;
"Jefferson County, Idaho";16051;0;
"Jefferson County, Illinois";17081;0;
"Jefferson County, Indiana";18077;0;
"Jefferson County, Iowa";19101;0;
"Jefferson County, Kansas";20087;0;
"Jefferson County, Kentucky";21111;"5,435556352";
"Jefferson Parish County, Louisiana";22051;"2,804018354";
"Jefferson County, Mississippi";28063;0;
"Jefferson County, Missouri";29099;"0,902003628";
"Jefferson County, Montana";30043;0;
"Jefferson County, Nebraska";31095;0;
"Jefferson County, New York";36045;0;
"Jefferson County, Ohio";39081;"0,53469266";
"Jefferson County, Oklahoma";40067;0;
"Jefferson County, Oregon";41031;"1,074451654";
"Jefferson County, Pennsylvania";42065;"0,225238981";
"Jefferson County, Tennessee";47089;0;
"Jefferson County, Texas";48245;"2,531649889";
"Jefferson County, Washington";53031;"3,350331602";
"Jefferson County, Wisconsin";55055;0;
