Geographic Area Name;Estimate!!HOUSEHOLDS BY TYPE!!Total households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families);Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size;Estimate!!RELATIONSHIP!!Population in households;Estimate!!RELATIONSHIP!!Population in households!!Householder;Estimate!!RELATIONSHIP!!Population in households!!Spouse;Estimate!!RELATIONSHIP!!Population in households!!Child;Estimate!!RELATIONSHIP!!Population in households!!Other relatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;Estimate!!MARITAL STATUS!!Males 15 years and over;Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced;Estimate!!MARITAL STATUS!!Females 15 years and over;Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;Estimate!!VETERAN STATUS!!Civilian population 18 years and over;Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
"Glynn County, Georgia";34634;23068;8006;14855;4533;1889;282;6324;3191;11566;8782;3898;10465;12222;2.41;2.87;83605;34634;15131;20712;7365;5763;2661;32080;11478;15644;338;809;3811;37697;10633;16495;519;3781;6269;19379;1369;40;9379;4969;3622;59358;2023;7042;14159;12147;4514;11397;8076;50293;19473;66541;5104;84150;11592;18645;619;48995;5310;16510;5663
"Gwinnett County, Georgia";297658;223536;111361;167078;81571;14267;4902;42191;24888;74122;61874;15518;123590;64176;3.10;3.63;923134;297658;166912;327865;92975;37724;12212;349148;126041;191031;4698;4607;22771;374988;121826;182410;8352;20933;41467;268458;15028;15140;113284;61825;63181;594500;38881;39393;133337;112190;54352;137304;79043;516226;216347;678741;41940;923716;59888;248756;4381;582546;32560;92414;22947
"Muscogee County, Georgia";72862;43324;18938;25489;10084;3402;927;14433;7927;29538;25931;8554;22002;19516;2.58;3.42;187699;72862;25072;62551;17098;10116;3601;73691;32800;28637;1623;1833;8798;79813;28574;27016;3237;7355;13631;55980;4010;2217;21976;10097;17680;126892;4052;11887;34542;34798;10354;17557;13702;110953;31259;140355;20796;184964;33929;48062;2082;111288;21215;25614;10632
"Hawaii County, Hawaii";71565;46712;16867;33527;10427;3763;1667;9422;4773;24853;19980;10755;19349;29941;2.77;3.37;198159;71565;33386;57349;19988;15871;5876;80194;30197;37651;812;2540;8994;84092;24744;39456;1545;8727;9620;44218;3226;2041;20867;9118;8966;142881;2748;8122;39068;33455;17164;27259;15065;132011;42324;157114;15049;199697;32677;43613;2269;113659;15162;42425;15246
"Kauai County, Hawaii";22685;16333;5657;11607;3614;1572;783;3154;1260;6352;5326;3286;6972;10380;3.14;3.61;71210;22685;11684;20564;10331;5946;1425;29359;10372;15133;205;886;2763;29715;8810;14419;503;2780;3203;13829;1061;1189;6713;3013;1853;51760;2323;1820;13855;9894;7627;11484;4757;47617;16241;56453;4434;71458;6964;15680;158;41355;2460;14423;4346
"Ada County, Idaho";178712;116638;50088;92784;37435;6718;3002;17136;9651;62074;48802;16768;53353;45561;2.58;3.13;460505;178712;92821;134574;21461;32937;9988;189427;66689;98996;1220;3356;19166;190291;53615;98686;1545;11645;24800;117495;5593;5707;49856;27691;28648;317853;3743;7716;74798;75070;30797;84307;41422;306394;125729;357901;33109;461865;47060;110926;3579;284617;22362;66322;21119
"Canyon County, Idaho";74520;52768;24127;40150;16946;4332;2852;8286;4329;21752;16636;7398;27837;22138;2.95;3.51;220101;74520;40513;74938;17212;12918;6233;84676;27099;43766;814;2023;10974;87196;22208;45480;1603;6131;11774;59376;2345;3215;26964;14740;12112;139650;10971;11510;42012;38139;11731;17355;7932;117169;25287;160975;14245;222079;33416;62376;2761;128249;19049;31454;11606
"Lake County, Illinois";246620;178902;82331;143250;62651;10419;5325;25233;14355;67718;56718;25265;88073;70435;2.76;3.29;681839;246620;142608;230384;37141;25086;13416;280865;94431;156849;2440;5779;21366;283505;81631;147828;4159;21046;28841;186341;12606;6451;78576;44612;44096;459793;22359;20290;96086;81230;28747;121686;89395;417144;211081;524483;33749;683953;63210;168501;5391;418599;29229;96853;28590
"McHenry County, Illinois";114544;87366;37169;72368;29038;4979;2008;10019;6123;27178;23097;11267;41312;32890;2.68;3.08;306627;114544;72333;94019;15038;10693;5395;123739;35742;76196;1085;2705;8011;126663;29522;74142;1204;10008;11787;74897;5094;4012;31593;18995;15203;211179;5613;7587;54599;46932;22354;48487;25607;197979;74094;236288;15828;307124;27741;72282;2791;190795;13101;44047;11849
"Tazewell County, Illinois";54123;36209;14023;29213;10274;1380;872;5616;2877;17914;15802;6996;15557;17234;2.40;2.95;129749;54123;29354;35963;5143;5166;2767;52463;14566;31195;164;1522;5016;55189;12037;29477;449;6487;6739;30054;1776;1291;13838;6668;6481;92946;1906;5225;30022;20994;10257;15937;8605;85815;24542;102486;7934;130001;17206;29728;1165;76068;6966;24205;9075
"Clark County, Indiana";45905;30544;11608;24130;8015;2060;1305;4354;2288;15361;13075;5066;12927;13068;2.53;3.08;116018;45905;24139;34124;5142;6708;3611;45476;13978;25189;438;1345;4526;49558;11153;25278;1027;3443;8657;25694;1364;1853;12376;5513;4588;82301;1744;6772;27139;18886;9304;11714;6742;73785;18456;90816;8653;116296;14774;26481;1180;71506;6615;18309;6979
"Grant County, Indiana";26923;17508;7227;12996;4114;1214;770;3298;2343;9415;7949;3722;8115;9270;2.23;2.73;60051;26923;12940;15050;2273;2865;1826;25691;8412;13293;91;586;3309;28810;7882;13482;447;2975;4024;16715;853;752;6441;2419;6250;44188;1367;5109;16814;10008;4301;3534;3055;37712;6589;52329;4579;65049;14306;13602;816;39258;8370;12189;5120
"Johnson County, Indiana";57504;41158;19059;33368;15009;2205;1268;5585;2782;16346;13315;5086;21498;15271;2.67;3.16;153639;57504;33168;47183;8665;7119;3098;59140;16759;34278;394;1474;6235;64188;14821;35659;89;5250;8369;42480;1680;2373;19190;8439;10798;103154;1638;5523;34075;19757;9967;22183;10011;95993;32194;116588;8649;154296;15739;39191;365;93212;9794;21893;5580
"Porter County, Indiana";66144;43374;18457;32474;12006;3264;1863;7636;4588;22770;18758;6665;20371;19219;2.50;3.12;165399;66144;32596;51595;7786;7278;4356;67983;24566;34011;545;1935;6926;70768;18320;35007;1460;6705;9276;40211;3011;2508;16567;9979;8146;115774;2342;4236;43344;22356;10531;19948;13017;109196;32965;132172;9940;167859;17717;37416;883;104111;8744;26332;8090
"Black Hawk County, Iowa";53386;32401;14171;22700;8060;3175;2000;6526;4111;20985;16105;6115;15263;14901;2.39;2.93;127704;53386;22733;34164;5578;11843;4872;52981;21965;24150;850;1470;4546;55257;20402;23851;670;4683;5651;39193;2538;1535;12791;6122;16207;84157;2659;4878;25719;17347;9956;16193;7405;76620;23598;103307;7947;130893;18393;28743;1711;81490;9695;20660;6987
"Johnson County, Iowa";60868;33567;16127;26567;12272;2242;910;4758;2945;27301;17508;4064;17012;11789;2.36;2.98;143675;60868;26673;34627;5289;16218;3961;61547;27888;28225;209;1120;4105;63904;25560;29226;457;3170;5491;51049;2606;2106;12933;6160;27244;88338;1993;1609;11957;16176;8922;22603;25078;84736;47681;121078;4923;149599;11033;30119;1099;102365;5449;17115;4485
"Sedgwick County, Kansas";198024;123752;57268;90793;37827;10174;5429;22785;14012;74272;61311;23001;62911;53430;2.56;3.27;507772;198024;90867;157639;32569;28673;11924;198224;68139;98452;2606;6020;23007;205219;57330;100159;4556;15785;27389;136976;8777;6580;58998;29331;33290;334230;15360;19863;85703;76404;30905;65348;40647;299007;105995;379743;32075;507961;75861;131614;8734;303797;40683;72550;26444
"Boone County, Kentucky";47684;34483;16637;26744;12244;2482;1898;5257;2495;13201;11229;3794;18002;12052;2.74;3.22;130486;47684;26671;43409;6603;6119;2956;51149;15240;28964;211;552;6182;52957;14144;27066;626;4020;7101;32149;2115;1465;14400;8283;5886;87206;2483;3289;26455;19820;6525;18073;10561;81434;28634;97822;9142;130642;17432;33640;2582;79926;9109;17076;5741
"Jefferson Parish, Louisiana";167596;105501;41172;70261;24628;8505;3927;26735;12617;62095;53066;19321;47154;52608;2.57;3.28;430635;167596;69934;132504;38393;22208;9651;169185;63846;78947;2904;4779;18709;184264;61528;76657;3932;17284;24863;99326;7877;3866;42897;21752;22934;306097;16475;24321;91601;68993;17954;59234;27519;265301;86753;337821;18085;430641;65939;95404;4002;262546;35871;72691;26066
"Lafourche Parish, Louisiana";35838;23348;9809;16599;6627;1880;697;4869;2485;12490;10115;4021;11115;10910;2.69;3.35;96251;35838;16554;30377;7838;5644;3807;37810;13427;18704;667;1315;3697;40845;12236;17796;1133;4706;4974;24564;1263;807;11869;5024;5601;66634;6611;7699;27170;10291;3535;7288;4040;52324;11328;75133;3728;97365;15680;22982;1158;59222;8325;15161;6197
"York County, Maine";88416;54432;16933;44408;12407;3108;1144;6916;3382;33984;25322;11673;19710;30455;2.30;2.83;203108;88416;44024;47308;8456;14904;7022;83516;24096;45972;1132;1976;10340;90724;21395;46662;923;8403;13341;39626;2648;1328;17410;8763;9477;152863;3199;5384;48063;33441;15479;32485;14812;144280;47297;166946;16681;204246;31652;38714;2694;123963;15414;41569;13544
"Howard County, Maryland";116903;86143;40856;70178;32802;4257;1395;11708;6659;30760;23629;9519;43262;31066;2.74;3.22;320817;116903;69839;103323;18448;12304;6288;124643;37455;74827;1397;2531;8433;134338;36193;74707;2567;8129;12742;88575;5384;3591;36614;19637;23349;218940;3768;4899;32098;30068;11729;69492;66886;210273;136378;242459;15685;319284;27862;78542;2627;196492;12569;44250;12666
"Montgomery County, Maryland";368334;257291;120514;203585;94545;14913;6687;38793;19282;111043;90727;36432;130010;108280;2.83;3.40;1043798;368334;203289;332225;82988;56962;16983;405696;136722;228805;4153;6877;29139;444381;130856;228448;8907;30089;46081;269929;18683;14694;107204;56639;72709;726243;34826;30386;94834;100284;40545;194445;230923;661031;425368;805913;42509;1044055;89372;243940;5848;640415;40071;159700;43453
"Baltimore city, Maryland";237204;117955;45747;62027;21616;10213;3470;45715;20661;119249;95673;31440;55371;64457;2.44;3.46;578954;237204;61765;165696;63048;51241;18430;229467;126460;68772;5496;6625;22114;268205;131767;71623;10082;23085;31648;147836;10982;8559;51797;22806;53692;421499;17524;42100;123439;78123;20686;69862;69765;361875;139627;478572;30698;594492;92938;122972;7023;389911;54072;81609;31843
"Allegan County, Michigan";43992;32703;13543;25754;9659;2055;1340;4894;2544;11289;8691;3767;15039;13532;2.64;3.00;115980;43992;25671;34391;5437;6489;3398;46524;12590;27400;384;1272;4878;47475;10108;27018;422;3774;6153;28207;2000;1812;13562;6493;4340;80051;2280;5627;28001;17747;7749;11268;7379;72144;18647;88903;4841;116315;11616;28338;598;68874;6083;19103;4935
"Kent County, Michigan";244046;163120;70968;123373;48703;13184;6999;26563;15266;80926;63609;25688;77932;62842;2.63;3.16;642121;244046;123269;198025;31420;45361;16321;253978;94313;128765;2596;4766;23538;268281;84940;130630;1966;19218;31527;166787;11136;11526;68775;35052;40298;434090;13939;21210;104826;94253;41505;104876;53481;398941;158357;495977;29262;649282;70130;157407;5523;404542;37344;87333;27263
"Macomb County, Michigan";347508;227394;90815;166720;63036;16128;6147;44546;21632;120114;100267;43609;99843;106956;2.49;3.11;866043;347508;167098;263207;49062;39168;22441;349297;126949;177916;3037;9774;31621;375923;111489;179107;3686;36012;45629;195183;13973;10716;77701;45450;47343;619372;22348;42653;176340;158441;65042;100454;54094;554371;154548;690466;43981;868267;127425;183913;7874;538664;66793;145690;52758
"Hennepin County, Minnesota";508964;292301;130447;226744;94075;20155;9467;45402;26905;216663;164319;53436;139469;124285;2.43;3.12;1235279;508964;226868;335721;57610;106116;37127;504703;207831;240700;5350;8129;42693;521236;178682;241560;7419;31355;62220;314771;23765;13712;122473;57799;97022;875734;26533;27752;143340;159309;72323;282534;163943;821449;446477;982788;51428;1251237;124963;276277;10695;803439;63726;171521;50542
"Rice County, Minnesota";23358;14748;6246;11872;4348;1234;835;1642;1063;8610;7285;3179;6647;7319;2.49;3.15;58106;23358;11869;18288;1549;3042;1486;27892;11036;12222;505;659;3470;26591;8988;12621;393;2299;2290;20690;1049;860;6934;3935;7912;41908;1252;2704;13264;8534;4240;8363;3551;37952;11914;51578;3470;64002;5946;14876;467;39244;2893;9882;2586
"Jones County, Mississippi";25098;17400;7606;12223;4618;1214;309;3963;2679;7698;6909;2735;8428;8043;2.65;3.30;66534;25098;12384;22039;5592;1421;895;26182;8829;13178;934;925;2316;28259;7887;13194;661;3658;2859;15940;901;1065;5506;4732;3736;45977;3865;3480;14527;7517;5816;6286;4486;38632;10772;51430;3243;67640;9109;17005;626;39129;4236;11506;4247
"Cass County, Missouri";40197;29713;11034;23350;7717;2711;1790;3652;1527;10484;8265;4757;12656;13070;2.59;2.99;104122;40197;23151;29928;6027;4819;3046;39984;10239;24589;26;1146;3984;44676;10325;23370;955;5106;4920;24418;1386;2078;11687;6018;3249;71371;1698;2941;23532;18402;5588;12858;6352;66732;19210;79812;8979;104262;12552;25128;787;61610;5769;17524;5996
"Cole County, Missouri";29593;19670;8683;15631;6103;1300;738;2739;1842;9923;8418;3984;9294;8773;2.44;3.02;72129;29593;15777;20884;3065;2810;1698;31806;10784;17087;107;456;3372;30758;7094;16814;591;2188;4071;17791;1068;1053;7750;3994;3926;53106;1175;2436;15194;11546;4068;12540;6147;49495;18687;59523;3829;73050;6501;17224;671;43439;2764;12387;3066
"Franklin County, Missouri";40387;27834;10995;20270;7230;3162;1487;4402;2278;12553;10531;4566;12525;12396;2.54;3.03;102693;40387;20265;30632;5618;5791;3248;42216;14310;21414;394;890;5208;42138;9858;20785;1570;4430;5495;24168;1518;1028;11064;4917;5641;72131;2451;5795;23835;18121;7789;9312;4828;63885;14140;79764;7033;102609;16072;23753;1360;61228;7755;17628;6957
"St. Louis County, Missouri";408117;261684;103482;190447;67397;16943;8328;54294;27757;146433;119753;48700;113653;125773;2.40;3.00;978043;408117;190181;285135;47797;46813;22086;380295;132204;199633;5178;10839;32441;435210;131038;200029;8195;40845;55103;241145;18273;11400;97153;52833;61486;692991;12621;31806;143604;144737;55859;172199;132165;648564;304364;776838;52318;984666;118675;219180;9526;591878;55888;173608;53261
"St. Louis city, Missouri";144295;63899;26546;35512;12112;4778;1532;23609;12902;80396;66720;18195;29602;32951;2.03;2.98;292536;144295;35638;72725;18236;21642;10338;121721;63072;39756;3144;3200;12549;131691;60100;38742;4778;10812;17259;64369;4561;2476;25649;9543;22140;217883;6006;18485;51476;46947;14050;45640;35279;193392;80919;244951;15652;298135;39125;57308;2283;200374;21839;40453;15003
"Strafford County, New Hampshire";48393;29606;10637;23670;7885;2471;1169;3465;1583;18787;13465;4624;12288;13298;2.49;3.07;120669;48393;23605;31356;6336;10979;3988;53364;21550;25073;962;947;4832;57319;19305;25302;806;4879;7027;35869;2198;1702;10076;5403;16490;85053;1976;4107;24816;14420;8670;20497;10567;78970;31064;105869;9491;128914;17584;24161;1002;85975;10897;18778;5685
"Burlington County, New Jersey";166698;115839;45563;90782;34432;5573;2418;19484;8713;50859;42492;18824;51285;54005;2.60;3.15;433292;166698;90830;131634;26659;17471;10331;180045;61787;97437;2844;3655;14322;189635;52953;95099;3115;16439;22029;103889;8175;5863;41352;22258;26241;315066;6521;13998;84903;66411;22544;76507;44182;294547;120689;346626;27419;429358;51566;92427;3862;263823;24679;73108;23025
"Camden County, New Jersey";188840;122775;51020;80656;28836;11006;5202;31113;16982;66065;53988;22044;56915;58366;2.65;3.29;500380;188840;80058;165093;35415;30974;16680;195815;81121;90390;3322;4974;16008;216023;77410;88866;6819;18642;24286;127798;8695;5282;55382;23649;34790;350674;16444;25754;100165;72304;24950;67763;43294;308476;111057;391794;22741;501687;69393;114758;4823;310289;37084;76640;27486
"Essex County, New Jersey";289921;189597;89149;115239;52257;17644;7027;56714;29865;100324;85638;28179;97532;77956;2.68;3.37;777593;289921;115028;266000;67624;39020;16075;304200;135819;133334;7865;6085;21097;337482;137270;129853;11591;27539;31229;208682;19690;12059;82963;42047;51923;540316;35001;33066;153301;86582;32773;114379;85214;472249;199593;610664;17309;787989;77095;188794;6409;494634;40586;104561;30100
"Mercer County, New Jersey";132980;89807;40139;65866;28264;7882;4274;16059;7601;43173;37411;15731;43459;40189;2.66;3.25;353796;132980;65901;113674;22739;18502;6349;147460;58403;72757;3345;2541;10414;157690;56909;70539;3550;12463;14229;94159;5004;3035;36748;18100;31272;249036;11164;21393;63288;35544;12460;54834;50353;216479;105187;291053;10092;365196;32429;78678;1910;232414;17677;54104;12842
"Otero County, New Mexico";23747;13748;5001;10909;3517;1205;657;1634;827;9999;8775;3101;6020;7699;2.64;3.56;62676;23747;10991;19237;4959;3742;1338;27807;10907;11718;322;1093;3767;25785;7316;13147;286;1760;3276;17004;756;1062;7620;4306;3260;44690;2225;4646;12836;10789;5004;5822;3368;37819;9190;48990;9123;61217;12278;15450;1231;35337;7339;10430;3708
"Onondaga County, New York";185046;115176;46155;84660;29399;7166;3711;23350;13045;69870;55116;23554;51192;57298;2.39;2.99;442223;185046;84195;125392;19932;27658;14518;181466;69398;88768;2810;6026;14464;199673;63673;89403;3969;19378;23250;116283;7309;6049;41438;23057;38430;315035;7942;21941;82059;53843;36924;59939;52387;285152;112326;362996;24244;456657;60269;97856;5082;282261;31157;76540;24030
"Ontario County, New York";44079;27228;10697;21543;7445;1640;1091;4045;2161;16851;13657;6414;11656;14911;2.41;3.06;106174;44079;22244;30639;3251;5961;2882;44489;14678;22097;855;1814;5045;47379;12724;23242;898;4499;6016;27651;1124;1933;9467;5997;9130;77970;1845;3135;18786;14345;10371;16046;13442;72990;29488;87420;6535;108896;14507;22211;652;65504;6593;21181;7262
"Rensselaer County, New York";64614;40079;14681;28900;8973;2671;1136;8508;4572;24535;17767;6789;15716;18317;2.38;2.92;153555;64614;28705;42734;5590;11912;7210;65680;26378;30763;1216;2338;4985;68178;23515;30549;1238;5792;7084;38945;2495;1228;14161;7473;13588;111202;2352;7062;33253;18107;15634;21398;13396;101788;34794;128022;9909;157624;23243;31136;805;100925;13597;25563;8841
"Warren County, New York";28007;17052;5022;12851;3256;967;528;3234;1238;10955;9614;4234;5485;9715;2.26;2.88;63314;28007;12760;16813;2439;3295;1678;27219;9314;14028;90;727;3060;27939;7788;13375;632;2841;3303;12135;986;643;5101;2862;2543;48290;725;3245;15511;8042;5424;8064;7279;44320;15343;52619;3956;63371;9452;11320;581;38044;5027;14007;3844
"Wayne County, New York";35927;24444;9114;19632;6665;1828;654;2984;1795;11483;9730;4441;10355;12070;2.46;2.97;88357;35927;19489;23997;4678;4266;2245;36456;9650;21130;224;1101;4351;37494;8320;20290;1294;3789;3801;19590;1214;1193;8891;4262;4030;64140;2062;4165;21333;12209;8556;9164;6651;57913;15815;70652;7407;89174;13139;19290;1338;53053;5870;16831;5931
"Davidson County, North Carolina";68761;47046;18088;33363;11163;3994;1842;9689;5083;21715;18368;7940;21178;22657;2.40;2.86;164731;68761;33281;43461;10882;8346;4110;66056;18088;35135;2412;2108;8313;70455;14801;35628;2081;7691;10254;34012;1413;2916;15897;8786;5000;117886;4164;15399;37153;26564;13023;15453;6130;98323;21583;129973;9800;164985;24117;36563;1255;99186;11455;29236;11407
"Franklin County, North Carolina";26380;19248;6301;14038;3483;1392;1109;3818;1709;7132;6292;2144;7484;7956;2.50;2.90;66077;26380;13702;18254;4629;3112;2275;26394;7617;13889;1073;748;3067;29010;7102;14911;1464;2929;2604;13155;460;1142;6547;2890;2116;48016;2859;3620;15733;11594;3631;6908;3671;41537;10579;52939;4077;66754;10578;14621;687;40737;5655;11396;4236
"Gaston County, North Carolina";84999;56260;21466;42101;14360;4815;2327;9344;4779;28739;24066;9400;25897;25822;2.59;3.14;219825;84999;41921;60088;18436;14381;6067;86355;26644;45330;3189;2539;8653;95145;25434;44350;2751;9498;13112;50593;2444;3520;21453;12031;11145;154383;7319;15303;47817;35175;17682;22178;8909;131761;31087;172518;13473;220699;33375;50114;1392;136197;18942;34388;13041
"New Hanover County, North Carolina";98151;53225;20620;39584;13394;3353;1752;10288;5474;44926;33505;12130;22275;28511;2.29;3.00;224910;98151;39566;58038;8598;20557;7115;93395;37014;41698;1694;3207;9782;103614;33209;42748;2759;10148;14750;59829;2270;2406;20889;9176;25088;159572;2334;7354;32272;36026;15431;45659;20496;149884;66155;189651;16991;229681;29900;41971;2784;147213;15674;40497;11442
"Rutherford County, North Carolina";26305;17833;5389;11391;2760;1785;646;4657;1983;8472;6986;3216;7293;9921;2.49;2.97;65455;26305;11836;17751;5617;3946;1256;26788;8167;12673;1382;1499;3067;29476;7811;13088;531;2512;5534;12924;804;928;5721;3063;2408;47753;1597;6182;14174;12342;5646;5016;2796;39974;7812;53044;4475;65758;12088;13779;503;38465;5533;13514;6052
"Surry County, North Carolina";29230;18984;7427;15359;5657;910;178;2715;1592;10246;8839;4348;8211;10653;2.43;3.07;71003;29230;15423;20868;3035;2447;1163;28702;8347;15161;1517;917;2760;30913;6326;16562;569;3810;3646;14027;741;668;6161;3979;2478;50905;4190;5344;15644;10527;6362;6087;2751;41371;8838;56752;3693;71195;12436;15156;965;41526;5373;14513;6098
"Jefferson County, Ohio";27292;16722;5564;12511;3524;1661;862;2550;1178;10570;9285;4176;6312;10174;2.33;2.95;63512;27292;12456;16938;3133;3693;1467;26935;9404;13008;650;1080;2793;28756;7762;13623;660;2594;4117;13526;624;419;6234;2728;3521;46931;1300;3816;21960;7750;5049;4372;2684;41815;7056;53223;5067;64989;11455;12451;441;38569;6178;13969;4836
"Licking County, Ohio";62237;44495;18969;34966;14036;2541;1276;6988;3657;17742;13920;6466;21665;19074;2.76;3.23;171891;62237;34934;52945;11233;10542;4267;68453;19880;37763;1361;1934;7515;73608;19267;35747;1912;7463;9219;43056;2559;2158;19068;9022;10249;119575;1800;6755;41240;24294;10952;23365;11169;111020;34534;134864;12680;174424;29531;40809;3370;105336;14957;28279;11204
"Wayne County, Ohio";43908;29166;10668;23371;7652;1806;1153;3989;1863;14742;12318;4994;12444;14114;2.54;3.11;111716;43908;23156;32679;5835;6138;3602;45612;13359;24285;482;1304;6182;47068;13370;23825;634;3778;5461;28311;1292;2401;12140;5261;7217;76712;4882;4790;30648;14751;4047;10630;6964;67040;17594;87875;5526;114884;15787;27985;2027;66821;7290;20078;6470
"Douglas County, Oregon";45647;29874;9219;23595;6090;2061;1540;4218;1589;15773;12275;6466;10909;19298;2.38;2.81;108469;45647;23691;25865;4597;8669;3107;45558;12367;24440;666;1435;6650;47231;9864;25389;1251;4803;5924;21944;1305;1022;9648;5091;4878;81736;1979;6882;27964;21522;7044;11652;4693;72875;16345;88803;10859;109619;20384;21319;949;60617;9436;27683;9999
"Jackson County, Oregon";89787;57462;22439;44926;14249;4150;2291;8386;5899;32325;23955;12533;25138;33348;2.40;2.90;215815;89787;45449;52629;10832;17118;6729;87568;24183;48769;1476;2716;10424;95166;20742;49506;1950;7113;15855;45395;3248;2302;19900;9976;9969;157929;4997;11413;37796;45561;13845;27581;16736;141519;44317;174923;17684;218330;31038;44517;1968;125735;14626;48078;14444
"Franklin County, Pennsylvania";59834;43935;16896;35140;11382;3209;1896;5586;3618;15899;13533;6813;17961;19965;2.55;2.95;152559;59834;34950;45783;4938;7054;3741;60904;17401;36421;1243;1569;4270;65043;15219;36389;1082;5260;7093;32590;1571;1550;14913;7584;6972;108906;4128;8342;46739;15688;11247;13695;9067;96436;22762;120332;11169;153565;25650;34173;2780;90142;12850;29250;10020
