GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
est72011sex0_age40to44,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 40 to 44 years
est72011sex1_age40to44,Population Estimate (as of July 1) - 2011 - Male; Total - 40 to 44 years
est72011sex2_age40to44,Population Estimate (as of July 1) - 2011 - Female; Total - 40 to 44 years
est72012sex0_age40to44,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 40 to 44 years
est72012sex1_age40to44,Population Estimate (as of July 1) - 2012 - Male; Total - 40 to 44 years
est72012sex2_age40to44,Population Estimate (as of July 1) - 2012 - Female; Total - 40 to 44 years
est72013sex0_age40to44,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 40 to 44 years
est72013sex1_age40to44,Population Estimate (as of July 1) - 2013 - Male; Total - 40 to 44 years
est72013sex2_age40to44,Population Estimate (as of July 1) - 2013 - Female; Total - 40 to 44 years
est72014sex0_age40to44,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 40 to 44 years
est72014sex1_age40to44,Population Estimate (as of July 1) - 2014 - Male; Total - 40 to 44 years
est72014sex2_age40to44,Population Estimate (as of July 1) - 2014 - Females; Total - 40 to 44 years
est72015sex0_age40to44,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 40 to 44 years
est72015sex1_age40to44,Population Estimate (as of July 1) - 2015 - Male; Total - 40 to 44 years
est72015sex2_age40to44,Population Estimate (as of July 1) - 2015 - Female; Total - 40 to 44 years
est72016sex0_age40to44,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 40 to 44 years
est72016sex1_age40to44,Population Estimate (as of July 1) - 2016 - Male; Total - 40 to 44 years
est72016sex2_age40to44,Population Estimate (as of July 1) - 2016 - Female; Total - 40 to 44 years
est72017sex0_age40to44,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 40 to 44 years
est72017sex1_age40to44,Population Estimate (as of July 1) - 2017 - Male; Total - 40 to 44 years
est72017sex2_age40to44,Population Estimate (as of July 1) - 2017 - Female; Total - 40 to 44 years
est72018sex0_age40to44,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 40 to 44 years
est72018sex1_age40to44,Population Estimate (as of July 1) - 2018 - Male; Total - 40 to 44 years
est72018sex2_age40to44,Population Estimate (as of July 1) - 2018 - Female; Total - 40 to 44 years
cen42010sex0_age45to49,"April 1, 2010 - Census - Both Sexes; Total - 45 to 49 years"
cen42010sex1_age45to49,"April 1, 2010 - Census - Male; Total - 45 to 49 years"
cen42010sex2_age45to49,"April 1, 2010 - Census - Female; Total - 45 to 49 years"
est42010sex0_age45to49,"April 1, 2010 - Estimates Base - Both Sexes; Total - 45 to 49 years"
est42010sex1_age45to49,"April 1, 2010 - Estimates Base - Male; Total - 45 to 49 years"
est42010sex2_age45to49,"April 1, 2010 - Estimates Base - Female; Total - 45 to 49 years"
est72010sex0_age45to49,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 45 to 49 years
est72010sex1_age45to49,Population Estimate (as of July 1) - 2010 - Male; Total - 45 to 49 years
est72010sex2_age45to49,Population Estimate (as of July 1) - 2010 - Female; Total - 45 to 49 years
est72011sex0_age45to49,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 45 to 49 years
est72011sex1_age45to49,Population Estimate (as of July 1) - 2011 - Male; Total - 45 to 49 years
est72011sex2_age45to49,Population Estimate (as of July 1) - 2011 - Female; Total - 45 to 49 years
est72012sex0_age45to49,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 45 to 49 years
est72012sex1_age45to49,Population Estimate (as of July 1) - 2012 - Male; Total - 45 to 49 years
est72012sex2_age45to49,Population Estimate (as of July 1) - 2012 - Female; Total - 45 to 49 years
est72013sex0_age45to49,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 45 to 49 years
est72013sex1_age45to49,Population Estimate (as of July 1) - 2013 - Male; Total - 45 to 49 years
est72013sex2_age45to49,Population Estimate (as of July 1) - 2013 - Female; Total - 45 to 49 years
est72014sex0_age45to49,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 45 to 49 years
est72014sex1_age45to49,Population Estimate (as of July 1) - 2014 - Male; Total - 45 to 49 years
est72014sex2_age45to49,Population Estimate (as of July 1) - 2014 - Females; Total - 45 to 49 years
est72015sex0_age45to49,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 45 to 49 years
est72015sex1_age45to49,Population Estimate (as of July 1) - 2015 - Male; Total - 45 to 49 years
est72015sex2_age45to49,Population Estimate (as of July 1) - 2015 - Female; Total - 45 to 49 years
est72016sex0_age45to49,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 45 to 49 years
est72016sex1_age45to49,Population Estimate (as of July 1) - 2016 - Male; Total - 45 to 49 years
est72016sex2_age45to49,Population Estimate (as of July 1) - 2016 - Female; Total - 45 to 49 years
est72017sex0_age45to49,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 45 to 49 years
est72017sex1_age45to49,Population Estimate (as of July 1) - 2017 - Male; Total - 45 to 49 years
est72017sex2_age45to49,Population Estimate (as of July 1) - 2017 - Female; Total - 45 to 49 years
est72018sex0_age45to49,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 45 to 49 years
est72018sex1_age45to49,Population Estimate (as of July 1) - 2018 - Male; Total - 45 to 49 years
est72018sex2_age45to49,Population Estimate (as of July 1) - 2018 - Female; Total - 45 to 49 years
cen42010sex0_age50to54,"April 1, 2010 - Census - Both Sexes; Total - 50 to 54 years"
cen42010sex1_age50to54,"April 1, 2010 - Census - Male; Total - 50 to 54 years"
cen42010sex2_age50to54,"April 1, 2010 - Census - Female; Total - 50 to 54 years"
est42010sex0_age50to54,"April 1, 2010 - Estimates Base - Both Sexes; Total - 50 to 54 years"
est42010sex1_age50to54,"April 1, 2010 - Estimates Base - Male; Total - 50 to 54 years"
est42010sex2_age50to54,"April 1, 2010 - Estimates Base - Female; Total - 50 to 54 years"
est72010sex0_age50to54,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 50 to 54 years
est72010sex1_age50to54,Population Estimate (as of July 1) - 2010 - Male; Total - 50 to 54 years
est72010sex2_age50to54,Population Estimate (as of July 1) - 2010 - Female; Total - 50 to 54 years
est72011sex0_age50to54,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 50 to 54 years
est72011sex1_age50to54,Population Estimate (as of July 1) - 2011 - Male; Total - 50 to 54 years
est72011sex2_age50to54,Population Estimate (as of July 1) - 2011 - Female; Total - 50 to 54 years
est72012sex0_age50to54,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 50 to 54 years
est72012sex1_age50to54,Population Estimate (as of July 1) - 2012 - Male; Total - 50 to 54 years
est72012sex2_age50to54,Population Estimate (as of July 1) - 2012 - Female; Total - 50 to 54 years
est72013sex0_age50to54,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 50 to 54 years
est72013sex1_age50to54,Population Estimate (as of July 1) - 2013 - Male; Total - 50 to 54 years
est72013sex2_age50to54,Population Estimate (as of July 1) - 2013 - Female; Total - 50 to 54 years
est72014sex0_age50to54,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 50 to 54 years
est72014sex1_age50to54,Population Estimate (as of July 1) - 2014 - Male; Total - 50 to 54 years
est72014sex2_age50to54,Population Estimate (as of July 1) - 2014 - Females; Total - 50 to 54 years
est72015sex0_age50to54,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 50 to 54 years
est72015sex1_age50to54,Population Estimate (as of July 1) - 2015 - Male; Total - 50 to 54 years
est72015sex2_age50to54,Population Estimate (as of July 1) - 2015 - Female; Total - 50 to 54 years
est72016sex0_age50to54,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 50 to 54 years
est72016sex1_age50to54,Population Estimate (as of July 1) - 2016 - Male; Total - 50 to 54 years
est72016sex2_age50to54,Population Estimate (as of July 1) - 2016 - Female; Total - 50 to 54 years
est72017sex0_age50to54,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 50 to 54 years
est72017sex1_age50to54,Population Estimate (as of July 1) - 2017 - Male; Total - 50 to 54 years
est72017sex2_age50to54,Population Estimate (as of July 1) - 2017 - Female; Total - 50 to 54 years
est72018sex0_age50to54,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 50 to 54 years
est72018sex1_age50to54,Population Estimate (as of July 1) - 2018 - Male; Total - 50 to 54 years
est72018sex2_age50to54,Population Estimate (as of July 1) - 2018 - Female; Total - 50 to 54 years
cen42010sex0_age55to59,"April 1, 2010 - Census - Both Sexes; Total - 55 to 59 years"
cen42010sex1_age55to59,"April 1, 2010 - Census - Male; Total - 55 to 59 years"
cen42010sex2_age55to59,"April 1, 2010 - Census - Female; Total - 55 to 59 years"
est42010sex0_age55to59,"April 1, 2010 - Estimates Base - Both Sexes; Total - 55 to 59 years"
est42010sex1_age55to59,"April 1, 2010 - Estimates Base - Male; Total - 55 to 59 years"
est42010sex2_age55to59,"April 1, 2010 - Estimates Base - Female; Total - 55 to 59 years"
est72010sex0_age55to59,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 55 to 59 years
est72010sex1_age55to59,Population Estimate (as of July 1) - 2010 - Male; Total - 55 to 59 years
est72010sex2_age55to59,Population Estimate (as of July 1) - 2010 - Female; Total - 55 to 59 years
est72011sex0_age55to59,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 55 to 59 years
est72011sex1_age55to59,Population Estimate (as of July 1) - 2011 - Male; Total - 55 to 59 years
est72011sex2_age55to59,Population Estimate (as of July 1) - 2011 - Female; Total - 55 to 59 years
est72012sex0_age55to59,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 55 to 59 years
est72012sex1_age55to59,Population Estimate (as of July 1) - 2012 - Male; Total - 55 to 59 years
est72012sex2_age55to59,Population Estimate (as of July 1) - 2012 - Female; Total - 55 to 59 years
est72013sex0_age55to59,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 55 to 59 years
est72013sex1_age55to59,Population Estimate (as of July 1) - 2013 - Male; Total - 55 to 59 years
est72013sex2_age55to59,Population Estimate (as of July 1) - 2013 - Female; Total - 55 to 59 years
est72014sex0_age55to59,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 55 to 59 years
est72014sex1_age55to59,Population Estimate (as of July 1) - 2014 - Male; Total - 55 to 59 years
est72014sex2_age55to59,Population Estimate (as of July 1) - 2014 - Females; Total - 55 to 59 years
est72015sex0_age55to59,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 55 to 59 years
est72015sex1_age55to59,Population Estimate (as of July 1) - 2015 - Male; Total - 55 to 59 years
est72015sex2_age55to59,Population Estimate (as of July 1) - 2015 - Female; Total - 55 to 59 years
est72016sex0_age55to59,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 55 to 59 years
est72016sex1_age55to59,Population Estimate (as of July 1) - 2016 - Male; Total - 55 to 59 years
est72016sex2_age55to59,Population Estimate (as of July 1) - 2016 - Female; Total - 55 to 59 years
est72017sex0_age55to59,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 55 to 59 years
est72017sex1_age55to59,Population Estimate (as of July 1) - 2017 - Male; Total - 55 to 59 years
est72017sex2_age55to59,Population Estimate (as of July 1) - 2017 - Female; Total - 55 to 59 years
est72018sex0_age55to59,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 55 to 59 years
est72018sex1_age55to59,Population Estimate (as of July 1) - 2018 - Male; Total - 55 to 59 years
est72018sex2_age55to59,Population Estimate (as of July 1) - 2018 - Female; Total - 55 to 59 years
cen42010sex0_age60to64,"April 1, 2010 - Census - Both Sexes; Total - 60 to 64 years"
cen42010sex1_age60to64,"April 1, 2010 - Census - Male; Total - 60 to 64 years"
cen42010sex2_age60to64,"April 1, 2010 - Census - Female; Total - 60 to 64 years"
est42010sex0_age60to64,"April 1, 2010 - Estimates Base - Both Sexes; Total - 60 to 64 years"
est42010sex1_age60to64,"April 1, 2010 - Estimates Base - Male; Total - 60 to 64 years"
est42010sex2_age60to64,"April 1, 2010 - Estimates Base - Female; Total - 60 to 64 years"
est72010sex0_age60to64,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 60 to 64 years
est72010sex1_age60to64,Population Estimate (as of July 1) - 2010 - Male; Total - 60 to 64 years
est72010sex2_age60to64,Population Estimate (as of July 1) - 2010 - Female; Total - 60 to 64 years
est72011sex0_age60to64,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 60 to 64 years
est72011sex1_age60to64,Population Estimate (as of July 1) - 2011 - Male; Total - 60 to 64 years
est72011sex2_age60to64,Population Estimate (as of July 1) - 2011 - Female; Total - 60 to 64 years
est72012sex0_age60to64,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 60 to 64 years
est72012sex1_age60to64,Population Estimate (as of July 1) - 2012 - Male; Total - 60 to 64 years
est72012sex2_age60to64,Population Estimate (as of July 1) - 2012 - Female; Total - 60 to 64 years
est72013sex0_age60to64,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 60 to 64 years
est72013sex1_age60to64,Population Estimate (as of July 1) - 2013 - Male; Total - 60 to 64 years
est72013sex2_age60to64,Population Estimate (as of July 1) - 2013 - Female; Total - 60 to 64 years
est72014sex0_age60to64,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 60 to 64 years
est72014sex1_age60to64,Population Estimate (as of July 1) - 2014 - Male; Total - 60 to 64 years
est72014sex2_age60to64,Population Estimate (as of July 1) - 2014 - Females; Total - 60 to 64 years
est72015sex0_age60to64,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 60 to 64 years
est72015sex1_age60to64,Population Estimate (as of July 1) - 2015 - Male; Total - 60 to 64 years
est72015sex2_age60to64,Population Estimate (as of July 1) - 2015 - Female; Total - 60 to 64 years
est72016sex0_age60to64,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 60 to 64 years
est72016sex1_age60to64,Population Estimate (as of July 1) - 2016 - Male; Total - 60 to 64 years
est72016sex2_age60to64,Population Estimate (as of July 1) - 2016 - Female; Total - 60 to 64 years
est72017sex0_age60to64,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 60 to 64 years
est72017sex1_age60to64,Population Estimate (as of July 1) - 2017 - Male; Total - 60 to 64 years
est72017sex2_age60to64,Population Estimate (as of July 1) - 2017 - Female; Total - 60 to 64 years
est72018sex0_age60to64,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 60 to 64 years
est72018sex1_age60to64,Population Estimate (as of July 1) - 2018 - Male; Total - 60 to 64 years
est72018sex2_age60to64,Population Estimate (as of July 1) - 2018 - Female; Total - 60 to 64 years
cen42010sex0_age65to69,"April 1, 2010 - Census - Both Sexes; Total - 65 to 69 years"
cen42010sex1_age65to69,"April 1, 2010 - Census - Male; Total - 65 to 69 years"
cen42010sex2_age65to69,"April 1, 2010 - Census - Female; Total - 65 to 69 years"
est42010sex0_age65to69,"April 1, 2010 - Estimates Base - Both Sexes; Total - 65 to 69 years"
est42010sex1_age65to69,"April 1, 2010 - Estimates Base - Male; Total - 65 to 69 years"
est42010sex2_age65to69,"April 1, 2010 - Estimates Base - Female; Total - 65 to 69 years"
est72010sex0_age65to69,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 65 to 69 years
est72010sex1_age65to69,Population Estimate (as of July 1) - 2010 - Male; Total - 65 to 69 years
est72010sex2_age65to69,Population Estimate (as of July 1) - 2010 - Female; Total - 65 to 69 years
est72011sex0_age65to69,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 65 to 69 years
est72011sex1_age65to69,Population Estimate (as of July 1) - 2011 - Male; Total - 65 to 69 years
est72011sex2_age65to69,Population Estimate (as of July 1) - 2011 - Female; Total - 65 to 69 years
est72012sex0_age65to69,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 65 to 69 years
est72012sex1_age65to69,Population Estimate (as of July 1) - 2012 - Male; Total - 65 to 69 years
est72012sex2_age65to69,Population Estimate (as of July 1) - 2012 - Female; Total - 65 to 69 years
est72013sex0_age65to69,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 65 to 69 years
est72013sex1_age65to69,Population Estimate (as of July 1) - 2013 - Male; Total - 65 to 69 years
est72013sex2_age65to69,Population Estimate (as of July 1) - 2013 - Female; Total - 65 to 69 years
est72014sex0_age65to69,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 65 to 69 years
est72014sex1_age65to69,Population Estimate (as of July 1) - 2014 - Male; Total - 65 to 69 years
est72014sex2_age65to69,Population Estimate (as of July 1) - 2014 - Females; Total - 65 to 69 years
est72015sex0_age65to69,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 65 to 69 years
est72015sex1_age65to69,Population Estimate (as of July 1) - 2015 - Male; Total - 65 to 69 years
est72015sex2_age65to69,Population Estimate (as of July 1) - 2015 - Female; Total - 65 to 69 years
est72016sex0_age65to69,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 65 to 69 years
est72016sex1_age65to69,Population Estimate (as of July 1) - 2016 - Male; Total - 65 to 69 years
est72016sex2_age65to69,Population Estimate (as of July 1) - 2016 - Female; Total - 65 to 69 years
est72017sex0_age65to69,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 65 to 69 years
est72017sex1_age65to69,Population Estimate (as of July 1) - 2017 - Male; Total - 65 to 69 years
est72017sex2_age65to69,Population Estimate (as of July 1) - 2017 - Female; Total - 65 to 69 years
est72018sex0_age65to69,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 65 to 69 years
est72018sex1_age65to69,Population Estimate (as of July 1) - 2018 - Male; Total - 65 to 69 years
est72018sex2_age65to69,Population Estimate (as of July 1) - 2018 - Female; Total - 65 to 69 years
cen42010sex0_age70to74,"April 1, 2010 - Census - Both Sexes; Total - 70 to 74 years"
cen42010sex1_age70to74,"April 1, 2010 - Census - Male; Total - 70 to 74 years"
cen42010sex2_age70to74,"April 1, 2010 - Census - Female; Total - 70 to 74 years"
est42010sex0_age70to74,"April 1, 2010 - Estimates Base - Both Sexes; Total - 70 to 74 years"
est42010sex1_age70to74,"April 1, 2010 - Estimates Base - Male; Total - 70 to 74 years"
est42010sex2_age70to74,"April 1, 2010 - Estimates Base - Female; Total - 70 to 74 years"
est72010sex0_age70to74,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 70 to 74 years
est72010sex1_age70to74,Population Estimate (as of July 1) - 2010 - Male; Total - 70 to 74 years
est72010sex2_age70to74,Population Estimate (as of July 1) - 2010 - Female; Total - 70 to 74 years
est72011sex0_age70to74,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 70 to 74 years
est72011sex1_age70to74,Population Estimate (as of July 1) - 2011 - Male; Total - 70 to 74 years
est72011sex2_age70to74,Population Estimate (as of July 1) - 2011 - Female; Total - 70 to 74 years
est72012sex0_age70to74,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 70 to 74 years
est72012sex1_age70to74,Population Estimate (as of July 1) - 2012 - Male; Total - 70 to 74 years
est72012sex2_age70to74,Population Estimate (as of July 1) - 2012 - Female; Total - 70 to 74 years
est72013sex0_age70to74,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 70 to 74 years
est72013sex1_age70to74,Population Estimate (as of July 1) - 2013 - Male; Total - 70 to 74 years
est72013sex2_age70to74,Population Estimate (as of July 1) - 2013 - Female; Total - 70 to 74 years
est72014sex0_age70to74,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 70 to 74 years
est72014sex1_age70to74,Population Estimate (as of July 1) - 2014 - Male; Total - 70 to 74 years
est72014sex2_age70to74,Population Estimate (as of July 1) - 2014 - Females; Total - 70 to 74 years
est72015sex0_age70to74,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 70 to 74 years
est72015sex1_age70to74,Population Estimate (as of July 1) - 2015 - Male; Total - 70 to 74 years
est72015sex2_age70to74,Population Estimate (as of July 1) - 2015 - Female; Total - 70 to 74 years
est72016sex0_age70to74,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 70 to 74 years
est72016sex1_age70to74,Population Estimate (as of July 1) - 2016 - Male; Total - 70 to 74 years
est72016sex2_age70to74,Population Estimate (as of July 1) - 2016 - Female; Total - 70 to 74 years
est72017sex0_age70to74,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 70 to 74 years
est72017sex1_age70to74,Population Estimate (as of July 1) - 2017 - Male; Total - 70 to 74 years
est72017sex2_age70to74,Population Estimate (as of July 1) - 2017 - Female; Total - 70 to 74 years
est72018sex0_age70to74,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 70 to 74 years
est72018sex1_age70to74,Population Estimate (as of July 1) - 2018 - Male; Total - 70 to 74 years
est72018sex2_age70to74,Population Estimate (as of July 1) - 2018 - Female; Total - 70 to 74 years
cen42010sex0_age75to79,"April 1, 2010 - Census - Both Sexes; Total - 75 to 79 years"
cen42010sex1_age75to79,"April 1, 2010 - Census - Male; Total - 75 to 79 years"
cen42010sex2_age75to79,"April 1, 2010 - Census - Female; Total - 75 to 79 years"
est42010sex0_age75to79,"April 1, 2010 - Estimates Base - Both Sexes; Total - 75 to 79 years"
est42010sex1_age75to79,"April 1, 2010 - Estimates Base - Male; Total - 75 to 79 years"
est42010sex2_age75to79,"April 1, 2010 - Estimates Base - Female; Total - 75 to 79 years"
est72010sex0_age75to79,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 75 to 79 years
est72010sex1_age75to79,Population Estimate (as of July 1) - 2010 - Male; Total - 75 to 79 years
est72010sex2_age75to79,Population Estimate (as of July 1) - 2010 - Female; Total - 75 to 79 years
est72011sex0_age75to79,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 75 to 79 years
est72011sex1_age75to79,Population Estimate (as of July 1) - 2011 - Male; Total - 75 to 79 years
est72011sex2_age75to79,Population Estimate (as of July 1) - 2011 - Female; Total - 75 to 79 years
est72012sex0_age75to79,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 75 to 79 years
est72012sex1_age75to79,Population Estimate (as of July 1) - 2012 - Male; Total - 75 to 79 years
est72012sex2_age75to79,Population Estimate (as of July 1) - 2012 - Female; Total - 75 to 79 years
est72013sex0_age75to79,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 75 to 79 years
est72013sex1_age75to79,Population Estimate (as of July 1) - 2013 - Male; Total - 75 to 79 years
est72013sex2_age75to79,Population Estimate (as of July 1) - 2013 - Female; Total - 75 to 79 years
est72014sex0_age75to79,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 75 to 79 years
est72014sex1_age75to79,Population Estimate (as of July 1) - 2014 - Male; Total - 75 to 79 years
est72014sex2_age75to79,Population Estimate (as of July 1) - 2014 - Females; Total - 75 to 79 years
est72015sex0_age75to79,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 75 to 79 years
est72015sex1_age75to79,Population Estimate (as of July 1) - 2015 - Male; Total - 75 to 79 years
est72015sex2_age75to79,Population Estimate (as of July 1) - 2015 - Female; Total - 75 to 79 years
est72016sex0_age75to79,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 75 to 79 years
est72016sex1_age75to79,Population Estimate (as of July 1) - 2016 - Male; Total - 75 to 79 years
est72016sex2_age75to79,Population Estimate (as of July 1) - 2016 - Female; Total - 75 to 79 years
est72017sex0_age75to79,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 75 to 79 years
est72017sex1_age75to79,Population Estimate (as of July 1) - 2017 - Male; Total - 75 to 79 years
est72017sex2_age75to79,Population Estimate (as of July 1) - 2017 - Female; Total - 75 to 79 years
est72018sex0_age75to79,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 75 to 79 years
est72018sex1_age75to79,Population Estimate (as of July 1) - 2018 - Male; Total - 75 to 79 years
est72018sex2_age75to79,Population Estimate (as of July 1) - 2018 - Female; Total - 75 to 79 years
cen42010sex0_age80to84,"April 1, 2010 - Census - Both Sexes; Total - 80 to 84 years"
cen42010sex1_age80to84,"April 1, 2010 - Census - Male; Total - 80 to 84 years"
cen42010sex2_age80to84,"April 1, 2010 - Census - Female; Total - 80 to 84 years"
est42010sex0_age80to84,"April 1, 2010 - Estimates Base - Both Sexes; Total - 80 to 84 years"
est42010sex1_age80to84,"April 1, 2010 - Estimates Base - Male; Total - 80 to 84 years"
est42010sex2_age80to84,"April 1, 2010 - Estimates Base - Female; Total - 80 to 84 years"
est72010sex0_age80to84,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 80 to 84 years
est72010sex1_age80to84,Population Estimate (as of July 1) - 2010 - Male; Total - 80 to 84 years
est72010sex2_age80to84,Population Estimate (as of July 1) - 2010 - Female; Total - 80 to 84 years
est72011sex0_age80to84,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 80 to 84 years
est72011sex1_age80to84,Population Estimate (as of July 1) - 2011 - Male; Total - 80 to 84 years
est72011sex2_age80to84,Population Estimate (as of July 1) - 2011 - Female; Total - 80 to 84 years
est72012sex0_age80to84,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 80 to 84 years
est72012sex1_age80to84,Population Estimate (as of July 1) - 2012 - Male; Total - 80 to 84 years
est72012sex2_age80to84,Population Estimate (as of July 1) - 2012 - Female; Total - 80 to 84 years
est72013sex0_age80to84,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 80 to 84 years
est72013sex1_age80to84,Population Estimate (as of July 1) - 2013 - Male; Total - 80 to 84 years
est72013sex2_age80to84,Population Estimate (as of July 1) - 2013 - Female; Total - 80 to 84 years
est72014sex0_age80to84,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 80 to 84 years
est72014sex1_age80to84,Population Estimate (as of July 1) - 2014 - Male; Total - 80 to 84 years
est72014sex2_age80to84,Population Estimate (as of July 1) - 2014 - Females; Total - 80 to 84 years
est72015sex0_age80to84,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 80 to 84 years
est72015sex1_age80to84,Population Estimate (as of July 1) - 2015 - Male; Total - 80 to 84 years
est72015sex2_age80to84,Population Estimate (as of July 1) - 2015 - Female; Total - 80 to 84 years
est72016sex0_age80to84,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 80 to 84 years
est72016sex1_age80to84,Population Estimate (as of July 1) - 2016 - Male; Total - 80 to 84 years
est72016sex2_age80to84,Population Estimate (as of July 1) - 2016 - Female; Total - 80 to 84 years
est72017sex0_age80to84,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 80 to 84 years
est72017sex1_age80to84,Population Estimate (as of July 1) - 2017 - Male; Total - 80 to 84 years
est72017sex2_age80to84,Population Estimate (as of July 1) - 2017 - Female; Total - 80 to 84 years
est72018sex0_age80to84,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 80 to 84 years
est72018sex1_age80to84,Population Estimate (as of July 1) - 2018 - Male; Total - 80 to 84 years
est72018sex2_age80to84,Population Estimate (as of July 1) - 2018 - Female; Total - 80 to 84 years
cen42010sex0_age85plus,"April 1, 2010 - Census - Both Sexes; Total - 85 years and over"
cen42010sex1_age85plus,"April 1, 2010 - Census - Male; Total - 85 years and over"
cen42010sex2_age85plus,"April 1, 2010 - Census - Female; Total - 85 years and over"
est42010sex0_age85plus,"April 1, 2010 - Estimates Base - Both Sexes; Total - 85 years and over"
est42010sex1_age85plus,"April 1, 2010 - Estimates Base - Male; Total - 85 years and over"
est42010sex2_age85plus,"April 1, 2010 - Estimates Base - Female; Total - 85 years and over"
est72010sex0_age85plus,Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 85 years and over
est72010sex1_age85plus,Population Estimate (as of July 1) - 2010 - Male; Total - 85 years and over
est72010sex2_age85plus,Population Estimate (as of July 1) - 2010 - Female; Total - 85 years and over
est72011sex0_age85plus,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 85 years and over
